exp,source,target,edges,density,t_dijkstra,t_floyd
0,8,0,35,0.7777777777777778,1.3690000059796148e-05,0.0001966209999864077
1,0,5,33,0.7333333333333333,1.36099999963335e-05,0.00018454099995324214
2,8,7,31,0.6888888888888889,1.2599999990925426e-05,0.00019213099994885852
3,2,4,37,0.8222222222222222,1.03509999007656e-05,0.00019177100011802395
4,3,8,37,0.8222222222222222,1.600000018697756e-05,0.00018611100017551507
5,0,2,33,0.7333333333333333,1.1540000059540034e-05,0.00018749100013337738
6,3,5,36,0.8,1.4169999985824688e-05,0.00018907099979514896
7,7,9,33,0.7333333333333333,1.1560000075405696e-05,0.00021954099997856247
8,7,6,31,0.6888888888888889,1.391999990119075e-05,0.00019023100003323634
9,9,6,31,0.6888888888888889,1.2499999911597115e-05,0.00018924100004369393
10,5,8,36,0.8,6.629999916185625e-06,0.00018585099996926147
11,1,5,32,0.7111111111111111,6.869999879199895e-06,0.0001965010001185874
12,0,9,36,0.8,6.6799998421629425e-06,0.0001824010000746057
13,8,3,38,0.8444444444444444,1.3789999911750783e-05,0.00019072100008088455
14,7,0,35,0.7777777777777778,9.63000002229819e-06,0.00018458099998497346
15,9,7,31,0.6888888888888889,1.029000009111769e-05,0.00018837099992197182
16,0,6,33,0.7333333333333333,1.232099998560443e-05,0.00018818099988493486
17,5,4,36,0.8,6.4000000747910235e-06,0.00019513100005497108
18,4,7,33,0.7333333333333333,1.1070000027757487e-05,0.0002037009999185102
19,6,9,35,0.7777777777777778,1.5459999985978357e-05,0.00018220099991594907
20,4,4,28,0.6222222222222222,3.4300001061637886e-06,0.00019468099981168052
21,3,1,35,0.7777777777777778,1.2930000139022013e-05,0.0001827220000905072
22,2,4,37,0.8222222222222222,1.4400000054592965e-05,0.00018636100003277534
23,8,1,32,0.7111111111111111,7.999999979801942e-06,0.0001893710000331339
24,4,1,35,0.7777777777777778,1.7110000044340268e-05,0.00019349099989085516
25,8,7,36,0.8,1.5309999980672728e-05,0.00019379099990146642
26,2,6,33,0.7333333333333333,1.3521000028049457e-05,0.00019538100013960502
27,6,8,34,0.7555555555555555,1.0870000096474541e-05,0.00018433099990033952
28,4,2,32,0.7111111111111111,7.899999900473631e-06,0.00019475100020827085
29,5,3,31,0.6888888888888889,1.3320000107341912e-05,0.00019886099994437245
30,7,8,32,0.7111111111111111,8.760000127949752e-06,0.00018591100001685845
31,1,8,36,0.8,1.5249999933075742e-05,0.0001789819998521125
32,1,6,34,0.7555555555555555,1.1840000070151291e-05,0.00019544099995982833
33,2,6,34,0.7555555555555555,1.4299999975264654e-05,0.0001874310000857804
34,3,7,40,0.8888888888888888,1.575000010234362e-05,0.00018728100008047477
35,1,9,34,0.7555555555555555,1.5860999837968848e-05,0.00019361099998604914
36,6,4,39,0.8666666666666667,8.279999974547536e-06,0.00018344099999012542
37,2,5,35,0.7777777777777778,8.21999992695055e-06,0.00018907100002252264
38,7,7,33,0.7333333333333333,3.3599999369471334e-06,0.000182460999894829
39,5,9,34,0.7555555555555555,1.60910001341108e-05,0.00020132099984948582
40,7,3,39,0.8666666666666667,1.478000012866687e-05,0.00018735100002231775
41,4,7,38,0.8444444444444444,1.187999987450894e-05,0.00019585100017138757
42,8,7,33,0.7333333333333333,6.480000138253672e-06,0.00017991099980463332
43,3,3,33,0.7333333333333333,3.370000058566802e-06,0.0001935110001340945
44,8,1,32,0.7111111111111111,1.2260999938007444e-05,0.00019301099996482662
45,2,3,36,0.8,1.2819999938074034e-05,0.00018680100015444623
46,7,7,34,0.7555555555555555,3.3399999210814713e-06,0.00019110099992758478
47,6,9,37,0.8222222222222222,1.3670000043930486e-05,0.0001846610000484361
48,4,2,32,0.7111111111111111,9.200000022246968e-06,0.00018546100000094157
49,6,7,32,0.7111111111111111,8.449999995718827e-06,0.00018934100012302224
50,9,9,31,0.6888888888888889,3.3100000109698158e-06,0.00020179099988126836
51,6,4,34,0.7555555555555555,1.3459999991027871e-05,0.0001869410000381322
52,2,2,36,0.8,3.2299999475071672e-06,0.00018747099989013805
53,6,8,40,0.8888888888888888,1.3931000012235017e-05,0.00018837099992197182
