exp,source,target,edges,density,t_dijkstra,t_floyd
0,41,43,484,0.20041407867494823,7.908099996711826e-05,0.04919397100002243
1,28,59,487,0.20165631469979295,0.00017016299989336403,0.0494595160002973
2,23,31,503,0.2082815734989648,0.00010750199999165488,0.05073808099996313
3,62,15,514,0.21283643892339543,0.00018568399991636397,0.05269010700021681
4,28,43,480,0.19875776397515527,0.0001318419999734033,0.05014196999991327
5,20,66,501,0.20745341614906831,9.171199963020626e-05,0.04946593600016058
6,55,20,482,0.19958592132505176,0.00013628200031234883,0.04961488900016775
7,67,15,481,0.19917184265010351,9.720199977891752e-05,0.04929832300013004
8,10,38,479,0.19834368530020705,0.00015029299993329914,0.04903502799970738
9,15,45,460,0.19047619047619047,4.118100014238735e-05,0.04946625499997026
10,67,3,513,0.2124223602484472,0.00012753200007864507,0.04890935499997795
11,23,68,501,0.20745341614906831,0.00012620200004676008,0.055103820999647724
12,35,4,466,0.19296066252587993,4.718099989986513e-05,0.0495253959998081
13,35,14,471,0.19503105590062111,0.00011638300020422321,0.0492933210002775
14,38,25,491,0.20331262939958591,5.275100011203904e-05,0.04883425299976807
15,56,31,457,0.18923395445134575,0.00015452299976459472,0.04874273100040227
16,48,67,441,0.1826086956521739,0.0001411429998370295,0.04942927399997643
17,5,46,491,0.20331262939958591,5.3930999911244726e-05,0.04935616200009463
18,9,26,464,0.19213250517598343,7.792099995640456e-05,0.049477645000024495
19,68,8,429,0.17763975155279504,6.106099999669823e-05,0.04946212499999092
20,21,59,496,0.20538302277432713,0.00010436200000185636,0.04947651600014069
21,18,50,456,0.18881987577639753,0.00015677300007155281,0.04934581299994534
22,18,14,512,0.21200828157349896,7.665100019949023e-05,0.04927793200022279
23,37,29,480,0.19875776397515527,0.00015802300003997516,0.049362832000042545
24,28,18,477,0.19751552795031055,2.4660000235599e-05,0.04992682400006743
25,39,55,470,0.19461697722567287,4.2131000100198435e-05,0.04906602700020812
26,25,40,478,0.1979296066252588,0.00014751299977433519,0.04986014199994315
27,5,1,462,0.19130434782608696,3.8471000152640045e-05,0.049825880999833316
28,44,44,477,0.19751552795031055,1.790999976947205e-05,0.04907160599987037
29,17,47,467,0.19337474120082815,0.00014784299992243177,0.049962773000061134
30,45,9,456,0.18881987577639753,0.00010653200024535181,0.04896879399984755
31,67,17,487,0.20165631469979295,0.00016737299984015408,0.048926513000424166
32,44,41,483,0.2,3.9800999729777686e-05,0.048634858000241366
33,11,11,476,0.19710144927536233,1.732099963192013e-05,0.04958156600014263
34,35,60,455,0.18840579710144928,9.488199975749012e-05,0.049589816000207065
35,14,66,467,0.19337474120082815,0.00013993299990033847,0.04914527700020699
36,6,9,477,0.19751552795031055,0.00014708299977428396,0.049200938000012684
37,29,53,478,0.1979296066252588,8.071199999903911e-05,0.05011699499982569
38,46,37,456,0.18881987577639753,7.167100011429284e-05,0.0493237309997312
39,63,63,507,0.20993788819875778,1.7190000107802916e-05,0.050129176000154985
40,62,24,478,0.1979296066252588,0.00012552199996207491,0.04920138799980123
41,32,2,474,0.19627329192546583,0.00011306199985483545,0.04921411799978159
42,10,37,465,0.19254658385093168,0.00012295299984543817,0.04944986300006349
43,38,7,446,0.18467908902691513,9.9251999927219e-05,0.050264728000001924
44,39,54,470,0.19461697722567287,6.14209998275328e-05,0.04953477400022166
45,61,69,462,0.19130434782608696,0.00013412199996309937,0.049250130000018544
46,69,67,512,0.21200828157349896,0.0001438419999431062,0.04946926299999177
47,68,11,431,0.1784679089026915,3.828099988822942e-05,0.04933260899997549
48,46,6,474,0.19627329192546583,0.0001451829998586618,0.0491938760001176
49,51,50,476,0.19710144927536233,0.00010360199985370855,0.04969407600037812
50,42,12,445,0.18426501035196688,5.34310001967242e-05,0.04919653599972662
51,24,35,484,0.20041407867494823,6.265100000746315e-05,0.04935956899998928
52,48,30,453,0.18757763975155278,9.093199969356647e-05,0.04960908500015648
53,59,18,482,0.19958592132505176,7.460100005118875e-05,0.050084464000065054
54,10,11,448,0.1855072463768116,0.00013123300004735938,0.0499848109998311
55,62,6,465,0.19254658385093168,0.00010890200019275653,0.04961316500020985
56,62,42,458,0.189648033126294,4.453100018508849e-05,0.049702545999934955
57,14,63,508,0.210351966873706,7.694099986110814e-05,0.049465591999705794
58,58,30,427,0.17681159420289855,0.00010469200014995295,0.04973064700016039
59,27,4,484,0.20041407867494823,0.00016272299990305328,0.04921679699964443
60,67,68,473,0.1958592132505176,0.00010425199980090838,0.049284097999588994
61,17,12,466,0.19296066252587993,2.3549999696115265e-05,0.05014906400037944
62,34,7,449,0.18592132505175984,0.00012416200024745194,0.049042524000014964
63,19,14,489,0.20248447204968945,6.320100010270835e-05,0.04948313300019436
64,26,32,492,0.20372670807453416,3.446000027906848e-05,0.049112725000213686
65,11,51,463,0.19171842650103518,9.806199977901997e-05,0.04983863899997232
66,2,29,492,0.20372670807453416,9.291100013797404e-05,0.049687305000134074
67,29,61,513,0.2124223602484472,4.159099989919923e-05,0.04930483699990873
68,63,42,468,0.1937888198757764,0.00011901199968633591,0.0498099070000535
69,42,45,471,0.19503105590062111,4.9671000397211174e-05,0.049063422000017454
70,60,1,478,0.1979296066252588,8.122200006255298e-05,0.04953336100015804
71,12,56,460,0.19047619047619047,7.759099980830797e-05,0.049611572999765485
72,49,12,491,0.20331262939958591,0.0001806740001484286,0.049533171000348375
73,38,8,463,0.19171842650103518,0.00012777200026903301,0.049127234000025055
74,51,7,505,0.20910973084886128,7.741099989289069e-05,0.048705145999974775
75,37,8,458,0.189648033126294,2.9721000373683637e-05,0.05018782400020427
76,69,5,502,0.20786749482401656,0.0001685629999883531,0.049652054000034695
77,32,21,464,0.19213250517598343,0.00016340299998773844,0.050220974999774626
78,55,25,473,0.1958592132505176,0.00010625200002323254,0.04913230400006796
79,21,43,495,0.20496894409937888,0.00015836300008231774,0.04954252200013798
80,9,48,447,0.18509316770186335,6.885099992359756e-05,0.04932628799997474
81,64,64,470,0.19461697722567287,1.7309999748249538e-05,0.04993787000012162
82,63,8,490,0.2028985507246377,0.00015829300036784844,0.049635114000011527
83,7,38,468,0.1937888198757764,0.00013367300016398076,0.04960929300023054
84,4,36,486,0.20124223602484473,0.00012251199996171636,0.0494557399997575
85,48,44,489,0.20248447204968945,0.00011880200008818065,0.04967948300009084
86,53,29,489,0.20248447204968945,0.00010595200001262128,0.04965557199966497
87,3,50,477,0.19751552795031055,0.0001094919998649857,0.05010216099981335
88,52,49,487,0.20165631469979295,7.735100007266738e-05,0.0496421019997797
89,38,0,461,0.19089026915113871,2.7010999929188984e-05,0.04898503899994466
90,0,36,445,0.18426501035196688,4.4780999814975075e-05,0.04967342200006897
91,12,23,440,0.18219461697722567,8.498200031681336e-05,0.048970819000260235
92,13,26,463,0.19171842650103518,7.291099973372184e-05,0.04987295700038885
93,42,40,451,0.1867494824016563,0.00015633299972250825,0.04960332200016637
94,35,31,481,0.19917184265010351,0.00016170299977602554,0.0487011350001012
95,57,38,430,0.17805383022774326,0.00012060300014127279,0.049692282000251
96,16,23,463,0.19171842650103518,6.801100016673445e-05,0.04973125400010758
97,61,15,494,0.20455486542443063,6.996100000833394e-05,0.04980731600016952
98,61,17,487,0.20165631469979295,9.711199982120888e-05,0.050136930999997276
99,13,67,464,0.19213250517598343,0.00012658300011025858,0.04990228599990587
100,20,4,427,0.17681159420289855,0.00012545199979285826,0.05036483599997155
101,60,40,449,0.18592132505175984,0.00011652200009848457,0.0502964640004393
102,46,9,466,0.19296066252587993,0.00018505399975765613,0.04930271500006711
103,11,27,494,0.20455486542443063,0.00012214299977131304,0.04972318299996914
104,37,67,468,0.1937888198757764,4.907099992124131e-05,0.04965495099986583
105,28,50,481,0.19917184265010351,0.00010187199995925766,0.049499037000259705
106,36,14,485,0.20082815734989648,7.176100007200148e-05,0.04967534099978366
107,35,22,452,0.18716356107660456,0.00015122300010261824,0.04947160799974881
108,50,35,454,0.18799171842650103,9.824199969443725e-05,0.04954347800003234
109,25,10,481,0.19917184265010351,0.0001425129999006458,0.049257033999765554
110,20,22,443,0.18343685300207038,7.39709998924809e-05,0.04944927700034896
111,17,6,491,0.20331262939958591,5.943099995420198e-05,0.04964835000009771
112,35,51,493,0.2041407867494824,0.00013834199990014895,0.04938830599985522
113,16,23,457,0.18923395445134575,0.0001406830001542403,0.0488536450002357
114,44,56,485,0.20082815734989648,0.00016058299979704316,0.04929230400011875
115,17,58,494,0.20455486542443063,0.0001601229996595066,0.04992343499998242
116,20,16,469,0.19420289855072465,0.00014254300003813114,0.04927812300002188
117,21,0,485,0.20082815734989648,9.377200012750109e-05,0.04960383000025104
118,59,0,497,0.20579710144927535,4.524099995251163e-05,0.04900971799997933
119,30,10,445,0.18426501035196688,5.518099987966707e-05,0.05013947999987067
120,53,40,505,0.20910973084886128,0.00011810199976025615,0.04935470500004158
121,51,30,453,0.18757763975155278,0.00012499200011006906,0.04944330699981947
122,59,22,460,0.19047619047619047,0.00011216200027774903,0.049983776999852125
123,21,69,465,0.19254658385093168,0.00010412200026621576,0.04938565499969627
124,14,18,460,0.19047619047619047,0.00010050199989564135,0.04977823099989109
125,41,5,495,0.20496894409937888,8.16520000626042e-05,0.050212209000164876
126,24,62,470,0.19461697722567287,0.0001588230002198543,0.049631769000370696
127,25,62,474,0.19627329192546583,0.0001494130001447047,0.048825403999671835
128,56,10,437,0.18095238095238095,4.853100017498946e-05,0.05013507800003936
129,61,38,446,0.18467908902691513,0.00012343200023678946,0.04944109500002014
130,67,18,503,0.2082815734989648,7.398100024147425e-05,0.04860222000024805
131,11,54,471,0.19503105590062111,0.00016882299996723305,0.04938800399986576
132,12,16,471,0.19503105590062111,6.0261999806243693e-05,0.049578016999930696
133,9,39,469,0.19420289855072465,0.00014715299994350062,0.04940508400022736
134,31,13,464,0.19213250517598343,0.00012473200013118912,0.04994818499972098
135,21,5,482,0.19958592132505176,9.061199989446322e-05,0.04922931100009009
136,4,21,459,0.19006211180124225,0.0001004119999379327,0.049391754000225774
137,46,61,456,0.18881987577639753,0.0001397930000166525,0.04913129900023705
138,36,32,480,0.19875776397515527,0.00010326200026611332,0.04918631099963022
139,3,14,456,0.18881987577639753,8.613199997853371e-05,0.05043165399956706
