exp,source,target,edges,density,t_dijkstra,t_floyd
0,45,40,867,0.27436708860759496,0.0001128209996750229,0.0738507210003263
1,59,40,920,0.2911392405063291,0.00023491199999625678,0.07362110000030953
2,12,30,829,0.26234177215189874,0.0001449910000701493,0.07346930900030202
3,58,45,851,0.2693037974683544,0.0001612309997653938,0.07339117899982739
4,58,29,859,0.2718354430379747,0.0001336209998044069,0.07324900700041326
5,41,28,859,0.2718354430379747,0.00021382100021583028,0.07340711899996677
6,5,58,915,0.28955696202531644,0.0002113810000992089,0.07323881799993615
7,3,12,888,0.2810126582278481,3.83900000997528e-05,0.07307749599976887
8,26,6,843,0.26677215189873416,0.00021539199997278047,0.07355820000020685
9,49,2,900,0.2848101265822785,7.865099996706704e-05,0.07355185999995228
10,31,60,888,0.2810126582278481,0.0001121210002565931,0.07300376499961203
11,72,8,928,0.2936708860759494,0.00024262099987026886,0.07253536200005328
12,46,26,846,0.26772151898734176,0.00015725100001873216,0.07430685500003165
13,69,32,862,0.2727848101265823,0.00015543199970124988,0.07390718200031188
14,35,66,846,0.26772151898734176,0.0002169020003748301,0.07373922000033417
15,58,29,927,0.29335443037974684,0.00011921099985556793,0.073653768999975
16,1,33,861,0.27246835443037976,0.00020087199982299353,0.07321340599992254
17,40,8,927,0.29335443037974684,0.00018576100001155282,0.07277803299984953
18,71,1,856,0.2708860759493671,9.914999964166782e-05,0.07287942399989333
19,13,75,881,0.27879746835443037,0.00024079200011328794,0.07253908099983164
20,72,62,890,0.28164556962025317,0.00019343099984325818,0.072914753999612
21,22,60,888,0.2810126582278481,3.944099989894312e-05,0.07338878800010207
22,9,41,881,0.27879746835443037,0.0001211209996654361,0.07344666800008781
23,42,63,822,0.260126582278481,9.077000004253932e-05,0.07272291200024483
24,21,50,849,0.26867088607594936,0.00012542099966594833,0.07384983000019929
25,42,44,895,0.28322784810126583,0.00018211199994766503,0.07338971699982721
26,71,66,884,0.27974683544303797,0.00012357099967630347,0.07313789499994527
27,62,72,865,0.2737341772151899,0.00012613100034286617,0.07322321499987083
28,8,31,840,0.26582278481012656,0.00010101099996973062,0.07326467600023534
29,18,78,891,0.2819620253164557,0.00017536099994686083,0.07313212500002919
30,1,46,876,0.2772151898734177,0.00017678099993645446,0.07345610699985627
31,78,26,880,0.27848101265822783,0.00019857100005538086,0.07375602999991315
32,57,78,855,0.27056962025316456,7.322000010390184e-05,0.07348065799988035
33,22,29,890,0.28164556962025317,5.394099980549072e-05,0.07393997100007255
34,75,23,898,0.28417721518987343,0.00014350099991133902,0.07373582999980499
35,34,35,879,0.2781645569620253,0.0001741719997880864,0.07380296000019371
36,21,19,903,0.2857594936708861,5.428000031315605e-05,0.07342638699992676
37,2,68,914,0.2892405063291139,0.00020509200021479046,0.07354341700010991
38,45,22,849,0.26867088607594936,0.00016080199975476717,0.07320900500008065
39,48,50,834,0.2639240506329114,0.0001585719996910484,0.07357778699997652
40,42,6,927,0.29335443037974684,0.00020755200011990382,0.07329993600023954
41,3,58,884,0.27974683544303797,0.00020317200005592895,0.07332467600008385
42,29,35,912,0.28860759493670884,0.00012899100011054543,0.07372403900035351
43,11,62,887,0.28069620253164557,0.0001685709999037499,0.07337306600038573
44,52,8,902,0.28544303797468357,0.00023058200031300657,0.07262201000003188
45,8,73,880,0.27848101265822783,0.0002048709998234699,0.07351073800009544
46,62,21,917,0.2901898734177215,0.00012544099990918767,0.07296263299986094
47,65,44,848,0.2683544303797468,0.00021541099977184786,0.07379793000018253
48,14,26,888,0.2810126582278481,0.00014537099968947587,0.07364881800003786
49,63,72,912,0.28860759493670884,0.00018941199959954247,0.07328138499997294
50,21,7,885,0.2800632911392405,0.00018131200022253324,0.07329222499993193
51,24,1,881,0.27879746835443037,0.00014548199987984844,0.07341706500028522
52,8,17,849,0.26867088607594936,4.3700000333046773e-05,0.0732953660003659
53,10,8,905,0.28639240506329117,0.00018150200003219652,0.07415696099997149
54,32,56,935,0.2958860759493671,0.00012750099995173514,0.07337556599986783
55,33,6,880,0.27848101265822783,0.0001739419999466918,0.07434757300006822
56,53,8,877,0.27753164556962023,0.0001747909996083763,0.07350863700003174
57,50,65,845,0.2674050632911392,0.00020632199993997347,0.0729395220000697
58,78,60,879,0.2781645569620253,0.00011782100000345963,0.07405203100006474
59,4,3,878,0.27784810126582277,0.00020595099977072095,0.07391852999990078
60,66,34,920,0.2911392405063291,0.00023901200029285974,0.07328805499992086
61,49,32,861,0.27246835443037976,0.0002421519998279109,0.0732382740002322
62,54,3,854,0.270253164556962,0.00014637100002801162,0.07348502600007123
63,67,34,830,0.2626582278481013,8.764099993641139e-05,0.0745299239997621
64,72,63,922,0.2917721518987342,0.00011868100000356208,0.07340128599980744
65,23,52,903,0.2857594936708861,0.00012341100000412553,0.07353544600027817
66,73,79,879,0.2781645569620253,0.0001295609999942826,0.07333123399985197
67,74,4,889,0.28132911392405063,7.970100023158011e-05,0.0734252249999372
68,75,47,882,0.2791139240506329,0.00023081200015440118,0.07331357399971239
69,75,24,894,0.2829113924050633,9.45300002967997e-05,0.07371236800008774
70,25,52,892,0.28227848101265823,0.00022248200002650265,0.07376238699998794
71,30,76,916,0.289873417721519,0.00023128199973143637,0.07277793100001873
72,69,63,863,0.2731012658227848,0.00017891099969347124,0.07353954700010945
73,57,41,845,0.2674050632911392,0.0001424609999958193,0.07380048899995018
74,60,20,860,0.2721518987341772,9.482099994784221e-05,0.07382464800002708
