exp,source,target,edges,density,t_dijkstra,t_floyd
0,49,36,1068,0.6033898305084746,0.00012240299975019298,0.030071817000134615
1,38,44,1063,0.6005649717514124,0.00021616599997287267,0.030409004999910394
2,46,9,1012,0.5717514124293785,0.00021537600014198688,0.030076127000029373
3,9,28,1030,0.5819209039548022,0.00013065299981462886,0.03030366299981324
4,39,17,1029,0.5813559322033899,5.92420001339633e-05,0.029999484999734705
5,5,33,1028,0.5807909604519774,0.0002154260000679642,0.03027979199987385
6,45,11,1003,0.5666666666666667,0.00012338300030023674,0.03017838000005213
7,0,30,1006,0.5683615819209039,0.00014095400001679081,0.030042805999983102
8,25,56,1029,0.5813559322033899,0.00020295600006647874,0.02959815400026855
9,33,38,1019,0.5757062146892655,0.00013006299968765234,0.03033512400043037
10,33,23,1026,0.5796610169491525,9.079199980988051e-05,0.03026262199955454
11,7,22,1016,0.5740112994350283,0.00011271299990767147,0.029885792000186484
12,13,1,1013,0.572316384180791,0.0001494130001447047,0.029977703999975347
13,11,6,1031,0.5824858757062147,6.948200007173e-05,0.0299815349999335
14,16,45,1018,0.5751412429378531,0.00020499599986578687,0.03026279199957571
15,48,48,1026,0.5796610169491525,1.5149999853747431e-05,0.03029306300004464
16,12,58,1043,0.5892655367231638,0.00016284399998767185,0.03000197500023205
17,21,38,999,0.5644067796610169,4.774100034410367e-05,0.030202840000129072
18,5,59,1060,0.5988700564971752,0.00014436399987971527,0.0299666639998577
19,7,16,1034,0.584180790960452,0.00020240599997123354,0.030149427999731415
20,17,57,980,0.5536723163841808,0.00014412400014407467,0.030202580000150192
21,50,4,1032,0.5830508474576271,0.00020018500026708352,0.030073356999764655
22,29,24,1006,0.5683615819209039,0.0001337730000159354,0.03028582299975824
23,58,43,1022,0.5774011299435028,4.1742000121303136e-05,0.0303230029999213
24,37,55,1050,0.5932203389830508,0.00013307300014275825,0.030287213000065094
25,18,6,1022,0.5774011299435028,0.00021730599974034703,0.030092066999714007
26,34,0,1047,0.5915254237288136,0.00010087200007546926,0.03025739099985003
27,57,57,1041,0.588135593220339,1.5489999896090012e-05,0.030258380000304896
28,21,3,1020,0.576271186440678,5.340100005923887e-05,0.029762178000055428
29,23,56,1014,0.5728813559322034,0.00018546499995863996,0.029979022999668814
30,52,46,1008,0.5694915254237288,7.966200018927339e-05,0.030192019000423898
31,29,26,1027,0.580225988700565,0.00011231300004510558,0.03011085699972682
32,13,4,1019,0.5757062146892655,0.00017362400012643775,0.030251329999828158
33,10,12,1026,0.5796610169491525,5.985099960525986e-05,0.02975519700021323
34,14,58,1025,0.5790960451977402,9.818299986363854e-05,0.030426983999859658
35,8,9,1024,0.5785310734463277,0.00016238400030488265,0.030082045000199287
36,13,22,1034,0.584180790960452,9.536300012769061e-05,0.03049007600020559
37,57,47,1024,0.5785310734463277,8.950199980972684e-05,0.02998796300016693
38,29,4,1011,0.5711864406779661,0.0001843850000113889,0.030106207000244467
39,22,33,1068,0.6033898305084746,7.616199991389294e-05,0.030094906000158517
40,19,1,1025,0.5790960451977402,0.00010690199997043237,0.030257250999966345
41,0,13,1029,0.5813559322033899,7.935199982966878e-05,0.030086406000009447
42,27,8,1058,0.5977401129943503,0.00018825500001184992,0.030243440000049304
43,43,18,999,0.5644067796610169,0.00011459300003480166,0.030286561000139045
44,0,22,1048,0.592090395480226,9.98030000118888e-05,0.030338552000102936
45,58,6,1027,0.580225988700565,0.00019870500000251923,0.029945172000225284
46,4,15,1040,0.5875706214689266,0.000184233999789285,0.03004059499971845
47,56,4,1025,0.5790960451977402,0.00013446299999486655,0.030212469000161946
48,12,13,1040,0.5875706214689266,5.6430999848089414e-05,0.029925962000106665
49,27,1,1024,0.5785310734463277,6.805199973314302e-05,0.030409143999804655
50,5,46,1027,0.580225988700565,0.00015560400015601772,0.029947342000014032
51,13,16,1020,0.576271186440678,0.00010591199998088996,0.03019878900022377
52,37,42,1020,0.576271186440678,0.0001949649999914982,0.030338302000018302
53,13,40,971,0.5485875706214689,0.0001664739997977449,0.030294951000087167
54,55,35,1035,0.5847457627118644,4.9480999678053195e-05,0.02998535299957439
55,33,51,1007,0.5689265536723164,0.0001772639998307568,0.03021513900011996
56,21,18,1035,0.5847457627118644,8.829199987303582e-05,0.029779746999793133
57,27,49,1032,0.5830508474576271,0.00011093300008724327,0.029892119000123785
58,24,42,1018,0.5751412429378531,0.00015050399997562636,0.030039023000426823
59,27,34,1041,0.588135593220339,7.855199964978965e-05,0.029983152000113478
60,10,12,1026,0.5796610169491525,0.00016593500004091766,0.030073754000113695
61,31,44,1019,0.5757062146892655,0.00011784299977080082,0.030263459000252624
62,45,22,1006,0.5683615819209039,0.00012378300016280264,0.03014476599992122
63,55,56,1044,0.5898305084745763,0.00016753400041125133,0.030175986999893212
64,57,55,967,0.5463276836158192,0.00010652299988578307,0.03005188299994188
65,32,51,1016,0.5740112994350283,0.0002158249999411055,0.030143735999899945
66,14,38,1059,0.5983050847457627,0.00016666400006215554,0.029973861999678775
67,25,36,1025,0.5790960451977402,7.823200030543376e-05,0.030215698000120028
68,57,8,1035,0.5847457627118644,0.00020737600016218494,0.029846058000202902
69,25,11,1021,0.5768361581920904,0.00014109299991105217,0.030071703999965393
70,23,56,1017,0.5745762711864407,0.00010504300007596612,0.030004561999703583
71,41,38,1021,0.5768361581920904,0.0001986550000765419,0.030134796000311326
72,50,47,988,0.5581920903954802,0.00014444399994317791,0.029981122000208416
