exp,source,target,edges,density,t_dijkstra,t_floyd
0,22,22,215,0.4942528735632184,1.0200000133409048e-05,0.004128378999894267
1,7,11,238,0.5471264367816092,5.878999991182354e-05,0.004067938999924081
2,24,14,224,0.5149425287356322,2.1379999907367164e-05,0.00404181800013248
3,1,15,214,0.49195402298850577,6.706999988637108e-05,0.0040341589999570715
4,29,8,229,0.5264367816091954,6.912000003467256e-05,0.0040420889999950305
5,25,29,238,0.5471264367816092,3.592999996726576e-05,0.00403385899994646
6,20,15,231,0.5310344827586206,6.082000004425936e-05,0.004044399000122212
7,22,24,225,0.5172413793103449,3.9409999999406864e-05,0.0040871989999686775
8,0,24,221,0.5080459770114942,6.204999999681604e-05,0.004016758000034315
9,14,3,220,0.5057471264367817,3.448999996180646e-05,0.0040373979998094
10,22,13,241,0.5540229885057472,4.110999998374609e-05,0.0040292379999300465
11,15,11,240,0.5517241379310345,4.0549999994254904e-05,0.004018068000050334
12,17,6,240,0.5517241379310345,6.0050000001865556e-05,0.003955478000079893
13,19,16,248,0.5701149425287356,3.501000014694e-05,0.004067049000013867
14,13,26,222,0.5103448275862069,3.870999989885604e-05,0.004299369999898772
15,23,24,241,0.5540229885057472,5.8979999948860495e-05,0.004050269000117623
16,23,1,240,0.5517241379310345,3.349999997226405e-05,0.005764616999840655
17,23,4,229,0.5264367816091954,7.300099991880415e-05,0.004081488999872818
18,29,11,224,0.5149425287356322,1.3390000049184891e-05,0.004062707999992199
19,18,2,229,0.5264367816091954,4.840999986299721e-05,0.00398297900005673
20,24,9,235,0.5402298850574713,6.017000009705953e-05,0.004016728999886254
21,10,20,237,0.5448275862068965,4.321000005802489e-05,0.00395088899995244
22,4,1,233,0.535632183908046,4.885000021204178e-05,0.004013729000007515
23,12,13,234,0.5379310344827586,4.1880000026139896e-05,0.004067888999998104
24,1,8,227,0.5218390804597701,5.078100002720021e-05,0.004059948000076474
25,14,7,221,0.5080459770114942,6.375100019795354e-05,0.004019047999918257
26,18,10,229,0.5264367816091954,2.347999998164596e-05,0.004019169000002876
27,1,10,228,0.5241379310344828,3.209099986634101e-05,0.003940778000014689
28,7,27,223,0.5126436781609195,5.588999988503929e-05,0.003957909000064319
29,17,15,231,0.5310344827586206,5.668999983754475e-05,0.004097388999980467
30,23,23,231,0.5310344827586206,8.090000164884259e-06,0.004104479000034189
31,2,27,227,0.5218390804597701,4.6550000206480036e-05,0.004119448999972519
32,22,10,217,0.49885057471264366,5.0910000027215574e-05,0.004126788999883502
33,21,8,239,0.5494252873563218,6.93209999553801e-05,0.004045608000069478
34,7,4,235,0.5402298850574713,3.697000011015916e-05,0.003997788000106084
35,9,29,231,0.5310344827586206,5.900100018152443e-05,0.003945958000031169
36,14,27,231,0.5310344827586206,5.801100019198202e-05,0.004033727999967596
37,11,17,224,0.5149425287356322,3.5020000041185995e-05,0.004045219000090583
38,18,7,229,0.5264367816091954,2.9471000061676023e-05,0.003996037999968394
39,25,11,233,0.535632183908046,4.9040000021705055e-05,0.003999859000032302
40,29,25,230,0.5287356321839081,5.157999999028107e-05,0.004002188999947975
41,0,21,246,0.5655172413793104,6.20799999069277e-05,0.0039707180001187226
42,10,11,228,0.5241379310344828,3.5430000025371555e-05,0.004119168999977774
43,26,25,224,0.5149425287356322,3.055000001950248e-05,0.004195589999881122
44,12,8,241,0.5540229885057472,5.1959999836981297e-05,0.004078298999957042
45,14,18,235,0.5402298850574713,3.96610000734654e-05,0.004062738000129684
46,6,28,221,0.5080459770114942,5.128099996909441e-05,0.004068489000019326
47,20,10,235,0.5402298850574713,5.791000012322911e-05,0.004040128999804438
48,15,27,243,0.5586206896551724,6.936999989193282e-05,0.0039969280001059815
49,9,8,243,0.5586206896551724,4.828999999517691e-05,0.004001449000043067
50,7,27,235,0.5402298850574713,4.867999996349681e-05,0.004049398999995901
51,20,5,224,0.5149425287356322,5.3669999942940194e-05,0.004011909000155356
52,4,0,212,0.48735632183908045,4.336999995757651e-05,0.003967227999964962
53,10,16,235,0.5402298850574713,4.094000018994848e-05,0.004018588999997519
54,15,10,217,0.49885057471264366,4.134999994676036e-05,0.004008618000170827
55,20,15,239,0.5494252873563218,4.338100006862078e-05,0.003989047999994
56,0,18,234,0.5379310344827586,2.691000008780975e-05,0.004042789000095581
57,24,4,236,0.542528735632184,4.767099994751334e-05,0.003988808000030986
58,3,3,227,0.5218390804597701,7.959999948070617e-06,0.004080159000068306
59,17,21,223,0.5126436781609195,3.7841000221305876e-05,0.004046077999873887
60,9,13,223,0.5126436781609195,5.9641000007104594e-05,0.0040795889999571955
61,20,22,243,0.5586206896551724,5.3940000043439795e-05,0.004039979000026506
62,19,26,217,0.49885057471264366,6.067000003895373e-05,0.004073028999982853
63,25,28,207,0.47586206896551725,4.8719999995228136e-05,0.004110638999918592
