exp,source,target,edges,density,t_dijkstra,t_floyd
0,75,20,1624,0.5139240506329114,0.00012067099987689289,0.07258257900002718
1,58,24,1586,0.5018987341772152,0.00010685100005503045,0.07237750800004505
2,70,2,1606,0.5082278481012659,0.0001720010000099137,0.07204580600000554
3,16,56,1633,0.5167721518987342,0.00011293000034129363,0.07191866600032881
4,30,37,1633,0.5167721518987342,0.00016592100018897327,0.0718709550001222
5,62,37,1663,0.5262658227848102,0.0002636720000737114,0.07181420500000968
6,77,27,1607,0.5085443037974684,8.717099990462884e-05,0.07200140500026464
7,69,32,1606,0.5082278481012659,0.0001903709999169223,0.07202939600028913
8,37,64,1612,0.5101265822784811,0.00010496100003365427,0.07196911499977432
9,39,57,1619,0.5123417721518987,0.00029795199998261523,0.07157894300007683
10,20,78,1561,0.4939873417721519,0.00032471200029249303,0.07197710499985988
11,14,1,1610,0.509493670886076,3.87700001738267e-05,0.07207135600037873
12,36,7,1581,0.5003164556962025,0.00012572100013130694,0.07186551399991004
13,52,27,1573,0.49778481012658227,5.561099987971829e-05,0.07222756599958302
14,69,8,1594,0.5044303797468355,0.000324951000038709,0.0722084070002893
15,73,23,1580,0.5,4.760000001624576e-05,0.0715401929996915
16,7,44,1637,0.5180379746835443,0.00011977099984505912,0.07155348200012668
17,34,78,1586,0.5018987341772152,0.00027949099967372604,0.07144647199993415
18,15,7,1566,0.49556962025316453,0.00013486099987858324,0.07280468999988443
19,69,3,1608,0.5088607594936709,0.0002362720001656271,0.07112287000018114
20,17,27,1602,0.5069620253164557,0.0001489810001658043,0.07144328100002895
21,15,54,1604,0.5075949367088608,0.00015121100022952305,0.07132281000031071
22,43,78,1648,0.5215189873417722,0.0002752919999693404,0.07101822900040133
23,59,50,1628,0.5151898734177215,0.00022268200018515927,0.07123073999991902
24,9,16,1614,0.510759493670886,0.000213560999782203,0.07164535300034913
25,5,33,1638,0.5183544303797468,0.00012056099967594491,0.0713001809999696
26,11,14,1634,0.5170886075949367,0.00017523099995742086,0.07169590300009077
27,13,33,1595,0.504746835443038,0.0001554709997435566,0.07206538499985982
28,72,2,1606,0.5082278481012659,0.000140970999837009,0.07186427399983586
29,41,24,1613,0.5104430379746835,0.0002108310000039637,0.07199517500021102
30,79,5,1572,0.49746835443037973,0.00030746199990971945,0.07186091399989891
31,61,14,1603,0.5072784810126583,0.0002638310002112121,0.07216290599990316
32,51,1,1612,0.5101265822784811,0.00018213099974673241,0.07156027199971504
33,8,42,1611,0.5098101265822785,0.00010704999976951513,0.07164854299981016
34,38,7,1655,0.5237341772151899,0.0002849709999281913,0.07158391199982361
35,68,38,1572,0.49746835443037973,4.269999999451102e-05,0.0718174129997351
36,59,11,1618,0.5120253164556962,0.0003073419998145255,0.07119325000030585
37,21,43,1598,0.5056962025316456,9.552999972584075e-05,0.07182407400023294
38,31,22,1615,0.5110759493670886,8.237100018959609e-05,0.07110506900016844
39,4,18,1627,0.514873417721519,0.0001868909998847812,0.07191054399982022
40,16,73,1626,0.5145569620253164,0.00013480099960361258,0.07242433700002948
41,3,37,1575,0.49841772151898733,0.0002438010001242219,0.0719286540002031
42,56,11,1618,0.5120253164556962,0.00020802199969693902,0.07140425100033099
43,20,45,1639,0.5186708860759494,7.770000001983135e-05,0.07166450300019278
44,23,10,1610,0.509493670886076,0.0001499010004408774,0.07116416899998512
45,41,37,1585,0.5015822784810127,0.00030115199979263707,0.07181304300002012
46,27,62,1616,0.5113924050632911,0.0002544710000620398,0.07176963299980343
47,54,33,1611,0.5098101265822785,0.00015960099972289754,0.07166166199976942
48,68,10,1608,0.5088607594936709,0.00013559099988924572,0.071744791999663
49,39,18,1613,0.5104430379746835,0.00016656099978717975,0.0716087119999429
50,72,66,1597,0.5053797468354431,0.00014547099999617785,0.0714269900004183
51,75,0,1584,0.5012658227848101,0.0001381910001327924,0.07235623599990504
52,30,47,1644,0.520253164556962,0.00023795199967935332,0.07162394200031486
53,15,41,1647,0.5212025316455696,0.00012790100026904838,0.0714803710002343
54,62,49,1591,0.5034810126582279,0.00021167099976082682,0.07185770299975047
55,57,75,1571,0.4971518987341772,0.0002158209999834071,0.07208308400004171
56,38,63,1640,0.5189873417721519,0.0002953510002043913,0.07167362300015157
57,34,4,1590,0.5031645569620253,0.0002814710001075582,0.07162454199988133
58,54,13,1649,0.5218354430379747,7.870099989304435e-05,0.07098659799976303
59,25,11,1630,0.5158227848101266,0.00027310199993735296,0.07183551300022373
60,2,78,1631,0.5161392405063291,0.00019877100021403749,0.07123391899995113
61,16,6,1615,0.5110759493670886,0.00030839200007903855,0.07133479999993142
62,3,41,1612,0.5101265822784811,0.000274292000085552,0.07203869400018448
63,66,3,1609,0.5091772151898735,0.00017303100003118743,0.0717305920002218
64,45,56,1661,0.5256329113924051,0.0001903709999169223,0.07115906800027005
65,57,7,1614,0.510759493670886,0.0002480709999872488,0.0718453029999182
66,54,11,1634,0.5170886075949367,0.00013307100016390905,0.07077779599967471
67,66,4,1604,0.5075949367088608,0.00021452200007843203,0.0716869510001743
68,44,40,1652,0.5227848101265823,0.0001316799998676288,0.07154659100024219
69,12,59,1603,0.5072784810126583,0.00024003199996514013,0.0714356499997848
70,5,18,1655,0.5237341772151899,0.00029427100025714026,0.07175958299967533
71,34,38,1619,0.5123417721518987,0.0001819910003177938,0.07193099300002359
72,3,64,1572,0.49746835443037973,0.000283551000393345,0.07468840999990789
73,24,13,1581,0.5003164556962025,0.00016116100005092449,0.0717462410002554
74,28,72,1600,0.5063291139240507,0.0003250220001973503,0.07106916700013244
75,1,33,1605,0.5079113924050633,0.00017805100014811615,0.07121550800002296
76,32,6,1597,0.5053797468354431,0.0003030520001630066,0.07185270199988736
77,77,33,1581,0.5003164556962025,0.00019723100012924988,0.07169080100038627
78,49,78,1610,0.509493670886076,0.00033622199998717406,0.0708992859999853
79,22,37,1612,0.5101265822784811,0.0002087309999296849,0.07370389400011845
80,37,17,1583,0.5009493670886076,0.00017877100026453263,0.07108649800011335
81,23,63,1622,0.5132911392405063,0.0003256720001445501,0.07175569100036228
82,64,33,1611,0.5098101265822785,0.00017001099968183553,0.07153436099997634
83,46,43,1577,0.4990506329113924,0.00011668100023598527,0.07065697500001988
84,54,38,1564,0.49493670886075947,0.000254821999988053,0.07139467899969532
85,53,79,1611,0.5098101265822785,0.00027832199975819094,0.07181509199972425
86,53,39,1601,0.5066455696202532,0.00018939100027637323,0.07126560799997605
87,52,57,1611,0.5098101265822785,0.00018522199979997822,0.07221015400000397
88,78,61,1587,0.5022151898734177,0.00024743099993429496,0.07205029299984744
89,59,63,1545,0.4889240506329114,0.00027750200024456717,0.07273576700026751
90,46,26,1606,0.5082278481012659,0.00014700000019729487,0.07903269600001295
91,78,58,1597,0.5053797468354431,0.00027156099986314075,0.07166738100022485
92,35,60,1582,0.5006329113924051,0.0001152410000031523,0.07262068599993654
93,75,0,1643,0.5199367088607595,0.00013346100013222895,0.07137247900027432
94,79,15,1620,0.5126582278481012,9.946000000127242e-05,0.07123176899995087
95,59,1,1581,0.5003164556962025,6.720000010318472e-05,0.07209123300026476
96,76,48,1580,0.5,0.0001771009997355577,0.07249662599997464
97,46,60,1623,0.5136075949367088,0.00013267000031191856,0.07135783900002934
98,67,20,1588,0.5025316455696203,0.0002992820000145002,0.07199664300014774
99,76,21,1579,0.49968354430379747,0.00014525100004902924,0.07147206999979971
100,66,11,1552,0.4911392405063291,4.2781000047398265e-05,0.07188243200016586
101,43,0,1611,0.5098101265822785,0.0001693009999144124,0.0715414200003579
102,31,18,1615,0.5110759493670886,0.00015062100010254653,0.07229073400003472
103,69,70,1604,0.5075949367088608,0.00032671200006006984,0.07128791800005274
104,12,55,1615,0.5110759493670886,0.00014512100005958928,0.07227831400041396
105,22,48,1602,0.5069620253164557,0.00028746200041496195,0.07134319900023911
106,10,25,1567,0.49588607594936707,0.00029720200018346077,0.07139127900018138
107,32,22,1578,0.49936708860759493,0.00026094199984072475,0.07148776899975928
108,73,73,1587,0.5022151898734177,2.3090000013326062e-05,0.07101366599999892
109,16,79,1637,0.5180379746835443,0.00028994199965381995,0.07129606799981048
110,53,33,1622,0.5132911392405063,0.0002212419999523263,0.07192375199974776
111,3,50,1633,0.5167721518987342,0.00025622200018915464,0.07073511399994459
112,16,58,1650,0.5221518987341772,0.00034154200011471403,0.07121340699995926
113,41,62,1590,0.5031645569620253,5.3420000313053606e-05,0.07124573800001599
114,39,45,1514,0.4791139240506329,0.00027384099985283683,0.07207162300028358
115,67,56,1618,0.5120253164556962,0.0001990609998756554,0.07157239999969534
116,40,73,1575,0.49841772151898733,0.00017904100013765856,0.07207509299996673
117,48,69,1659,0.525,4.912100030196598e-05,0.0719998710001164
118,60,8,1583,0.5009493670886076,0.0002399909999439842,0.0716474300002119
119,69,36,1621,0.5129746835443038,0.0002938120001090283,0.071136636999654
120,53,21,1608,0.5088607594936709,0.00018629099986355868,0.07141022799987695
121,31,78,1591,0.5034810126582279,0.00014852100002826774,0.0714887990002353
122,68,47,1570,0.49683544303797467,0.00020608099976016092,0.07197511200001827
123,20,52,1623,0.5136075949367088,0.00021309099975042045,0.07134066799972061
124,59,28,1608,0.5088607594936709,0.00017985099975703633,0.07161053900017578
125,26,9,1624,0.5139240506329114,0.00028175199986435473,0.07232170399993265
126,78,16,1599,0.5060126582278481,0.00028963200020371005,0.07153575899974385
127,78,48,1591,0.5034810126582279,0.00018644100009623799,0.07155814900033874
128,7,32,1590,0.5031645569620253,0.0002830110001923458,0.07156643000007534
129,11,63,1598,0.5056962025316456,0.00028774100019290927,0.07154340899978706
130,8,19,1635,0.5174050632911392,0.00014919099976395955,0.07154490899984012
131,8,52,1648,0.5215189873417722,0.00018402100022285595,0.0708540149998953
132,70,69,1604,0.5075949367088608,0.00031042200043884804,0.07143847799989089
133,65,9,1602,0.5069620253164557,0.00031032200013214606,0.07128798700023253
134,61,53,1619,0.5123417721518987,0.00010025099982158281,0.07107555599986881
135,21,6,1627,0.514873417721519,0.00012005099961243104,0.07190395099996749
136,17,7,1628,0.5151898734177215,0.0002609020002637408,0.07145235799998773
137,10,14,1592,0.5037974683544304,0.00016536100019948208,0.07126088699988031
138,69,2,1635,0.5174050632911392,0.00018613100019138074,0.07153241800006072
139,32,52,1576,0.49873417721518987,0.00015453100013473886,0.07133752699974139
140,77,64,1666,0.5272151898734178,0.0002737419999903068,0.07124259700003677
141,40,0,1600,0.5063291139240507,0.000114060000214522,0.07178052000017487
142,59,55,1607,0.5085443037974684,0.00025761200004126295,0.0712818970000626
143,4,39,1606,0.5082278481012659,0.00028283100027692853,0.07165281899960974
144,45,73,1628,0.5151898734177215,0.0003219220002392831,0.07145465800022066
145,7,43,1571,0.4971518987341772,0.0001335510000899376,0.07184893000021475
146,33,42,1621,0.5129746835443038,0.00026264200005243765,0.07161788799976421
147,23,27,1631,0.5161392405063291,0.00023431199997503427,0.07138395700030742
148,51,24,1641,0.5193037974683544,0.00011923000010938267,0.07152626900005998
149,56,71,1539,0.4870253164556962,0.0002830819998962397,0.0719618910002282
150,15,57,1614,0.510759493670886,0.00022499099986816873,0.07149557799994
151,66,21,1566,0.49556962025316453,8.18899998193956e-05,0.07131676700009848
152,38,68,1589,0.5028481012658228,5.305999957272434e-05,0.07113042600030894
153,66,62,1629,0.515506329113924,0.0003245419998165744,0.07159934799983603
154,77,13,1597,0.5053797468354431,0.00022973200020715012,0.07116476600003807
155,21,21,1610,0.509493670886076,1.9860000065818895e-05,0.07156336900015958
156,37,50,1578,0.49936708860759493,0.0003189819999533938,0.07177299900013168
157,53,55,1577,0.4990506329113924,0.0003313219999654393,0.07170855899994422
158,69,11,1603,0.5072784810126583,0.00010030099974756013,0.07197296999993341
159,30,66,1634,0.5170886075949367,0.00023658200007048436,0.07157975800009808
160,53,36,1593,0.5041139240506329,0.0002727710002545791,0.0711582060002911
161,18,70,1577,0.4990506329113924,0.00019562099987524562,0.07158273799996095
162,58,21,1647,0.5212025316455696,0.0002020910001192533,0.07129212700010612
163,26,59,1639,0.5186708860759494,0.00022864099992148113,0.07071346299971992
164,21,78,1654,0.5234177215189874,0.000294010999823513,0.07165684900019187
165,6,2,1591,0.5034810126582279,0.00015909100011413102,0.07132104600032108
166,25,51,1605,0.5079113924050633,0.00018544099975770223,0.07142756699977326
167,74,7,1567,0.49588607594936707,0.00024471200003972626,0.07153891699999804
168,9,41,1644,0.520253164556962,0.0002735719999691355,0.0719215199997052
169,1,67,1614,0.510759493670886,0.0002467609997438558,0.07131852700013042
170,63,1,1568,0.4962025316455696,0.0002397620000920142,0.07215410099979636
171,18,26,1654,0.5234177215189874,0.0002891220001401962,0.07149265699990792
172,4,56,1633,0.5167721518987342,0.0002247309998892888,0.07138744600024438
173,75,19,1606,0.5082278481012659,0.00011927099967579124,0.07170710800028246
174,64,36,1642,0.519620253164557,0.0001972710001609812,0.0731383770003049
175,79,26,1638,0.5183544303797468,0.00030557199988834327,0.07048251100013658
