exp,source,target,edges,density,t_dijkstra,t_floyd
0,0,9,19,0.4222222222222222,1.4650000139226904e-05,0.00019758199982788938
1,5,7,23,0.5111111111111111,1.1130000075354474e-05,0.00020074100007150264
2,1,5,21,0.4666666666666667,1.01200000699464e-05,0.00019331099997543788
3,7,2,18,0.4,8.35100013318879e-06,0.0002066909999030031
4,8,5,25,0.5555555555555556,5.859999873791821e-06,0.00018929099996967125
5,6,9,23,0.5111111111111111,1.2989999959245324e-05,0.00019880100012414914
6,5,2,25,0.5555555555555556,9.59999988481286e-06,0.00019896100002370076
7,5,7,26,0.5777777777777777,1.2161000086052809e-05,0.00019251100002293242
8,8,8,22,0.4888888888888889,3.3000001167238224e-06,0.0001878110001598543
9,3,1,17,0.37777777777777777,5.540000074688578e-06,0.00019351099990672083
10,8,0,26,0.5777777777777777,1.0420000080557656e-05,0.00019245199996476003
11,0,3,24,0.5333333333333333,6.309999889708706e-06,0.0001951909998751944
12,6,2,26,0.5777777777777777,9.620000128052197e-06,0.0001932910001869459
13,7,9,22,0.4888888888888889,1.354000005449052e-05,0.00018979100013893913
14,6,6,24,0.5333333333333333,3.35000004270114e-06,0.0002021010000134993
15,0,8,20,0.4444444444444444,6.299999995462713e-06,0.00020206099998176796
16,1,4,21,0.4666666666666667,9.52999994296988e-06,0.00020051100000273436
17,2,5,22,0.4888888888888889,1.0069999916595407e-05,0.0002010320001772925
18,5,0,28,0.6222222222222222,1.2240000160090858e-05,0.00018491100013307005
19,2,9,25,0.5555555555555556,5.2099999265919905e-06,0.0001933010000811919
20,9,1,25,0.5555555555555556,8.999999863590347e-06,0.00019367100003364612
21,5,2,24,0.5333333333333333,7.60000011723605e-06,0.0001979019998543663
22,6,6,25,0.5555555555555556,3.370000058566802e-06,0.0001936810001552658
23,0,7,25,0.5555555555555556,1.2620000006791088e-05,0.00019588099985412555
24,4,8,23,0.5111111111111111,9.571000191499479e-06,0.00019581100013965624
25,4,4,27,0.6,3.360000164320809e-06,0.00019116100020255544
26,6,3,28,0.6222222222222222,1.1240000048928778e-05,0.000190200999895751
27,2,6,20,0.4444444444444444,9.469999895372894e-06,0.00019875100019817182
28,9,6,26,0.5777777777777777,1.2129999959142879e-05,0.00019378199999664503
29,3,6,18,0.4,1.337000003331923e-05,0.0002040409999608528
30,6,6,26,0.5777777777777777,3.41999998454412e-06,0.00018590100012261246
31,1,8,25,0.5555555555555556,1.3680999927601079e-05,0.00019154100004925567
32,2,2,26,0.5777777777777777,3.3900000744324643e-06,0.00019804099997600133
33,3,1,25,0.5555555555555556,1.3020000096730655e-05,0.00019945100007134897
34,1,5,28,0.6222222222222222,7.480000022042077e-06,0.0001979410001240467
35,9,9,23,0.5111111111111111,3.220000053261174e-06,0.0001979520000077173
36,0,2,25,0.5555555555555556,8.710000201972434e-06,0.00019589099997574522
37,6,3,23,0.5111111111111111,1.3529999932870851e-05,0.00018458099998497346
38,4,4,23,0.5111111111111111,3.41999998454412e-06,0.00018416199986859283
39,6,2,23,0.5111111111111111,1.2519999927462777e-05,0.00019132100010210706
40,7,1,21,0.4666666666666667,8.120000074995914e-06,0.0001987709999866638
