exp,source,target,edges,density,t_dijkstra,t_floyd
0,29,8,135,0.3103448275862069,5.5940999800441205e-05,0.00415090000001328
1,8,3,133,0.3057471264367816,2.04699999812874e-05,0.004048610999916491
2,26,7,131,0.30114942528735633,5.864100012331619e-05,0.004101279999986218
3,18,24,130,0.2988505747126437,5.747000000155822e-05,0.004078391000120973
4,22,11,146,0.335632183908046,3.35800000357267e-05,0.004037110000126631
5,0,17,130,0.2988505747126437,4.639100006897934e-05,0.004146839999975782
6,12,27,138,0.31724137931034485,5.722099990634888e-05,0.004105950000166558
7,22,5,139,0.3195402298850575,3.848000005746144e-05,0.004169940999872779
8,1,21,141,0.32413793103448274,5.906100000174774e-05,0.004312231000085376
9,0,15,133,0.3057471264367816,3.3400000120309414e-05,0.004154330999881495
10,0,16,143,0.32873563218390806,5.5810000048950315e-05,0.004261152000026414
11,19,3,145,0.3333333333333333,4.067999998369487e-05,0.004179711000006137
12,20,11,134,0.3080459770114943,2.4160000066331122e-05,0.004076049999866882
13,13,26,135,0.3103448275862069,1.9869999960064888e-05,0.00413725099997464
14,21,26,151,0.3471264367816092,1.3889999991079094e-05,0.004205361000003904
15,6,15,133,0.3057471264367816,3.5909999951400096e-05,0.004078151000157959
16,16,28,151,0.3471264367816092,4.390999993120204e-05,0.004074339999988297
17,1,13,152,0.34942528735632183,4.975000001650187e-05,0.004318511000064973
18,12,14,139,0.3195402298850575,6.085999984861701e-05,0.00414056099998561
19,20,3,141,0.32413793103448274,5.177999992156401e-05,0.00409534999994321
20,10,8,131,0.30114942528735633,4.639999997380073e-05,0.004173650999973688
21,23,13,137,0.31494252873563217,5.323000004864298e-05,0.004214221999973233
22,9,5,133,0.3057471264367816,2.5940000114133e-05,0.004018170000108512
23,7,1,127,0.29195402298850576,3.1190000072456314e-05,0.004116399999929854
24,4,4,142,0.3264367816091954,8.01000010142161e-06,0.004231691000086357
25,28,1,145,0.3333333333333333,2.2470999965662486e-05,0.004132329999947615
26,19,7,146,0.335632183908046,6.437999991248944e-05,0.0041283110001586465
27,12,22,115,0.26436781609195403,3.565999986676616e-05,0.004050220000181071
28,1,4,140,0.3218390804597701,1.2799999922208372e-05,0.004055720999986079
29,16,9,139,0.3195402298850575,3.930000002583256e-05,0.004192270999965331
30,28,14,136,0.31264367816091954,1.2129999959142879e-05,0.003958378999868728
31,21,16,147,0.33793103448275863,5.463100001179555e-05,0.004108439999981783
32,3,14,117,0.2689655172413793,4.11000000895001e-05,0.004269422000106715
33,22,22,124,0.2850574712643678,8.170000000973232e-06,0.004193812000039543
34,13,12,136,0.31264367816091954,1.3910000006944756e-05,0.004178721000016594
35,13,3,125,0.28735632183908044,4.7580999989804695e-05,0.004189550000091913
36,15,2,127,0.29195402298850576,2.5640999865572667e-05,0.004098620000149822
37,9,11,121,0.27816091954022987,2.2780000108468812e-05,0.004098119999980554
38,17,5,136,0.31264367816091954,4.296999986763694e-05,0.004189801999928022
39,6,20,145,0.3333333333333333,2.27999998969608e-05,0.004076879999956873
40,3,28,128,0.2942528735632184,1.7410000054951524e-05,0.004114721000178179
41,17,7,138,0.31724137931034485,5.5049999900802504e-05,0.004183670999964306
42,2,11,139,0.3195402298850575,1.337000003331923e-05,0.004180350999831717
43,23,14,134,0.3080459770114943,1.1931000017284532e-05,0.0041981909998867195
