exp,source,target,edges,density,t_dijkstra,t_floyd
0,30,0,1122,0.6338983050847458,3.10909999825526e-05,0.030072063999796228
1,21,8,1127,0.6367231638418079,0.00018660500018086168,0.03002283300020281
2,18,45,1121,0.6333333333333333,0.00014961399983803858,0.030170746999829134
3,58,58,1159,0.6548022598870057,2.320100020369864e-05,0.029967121000026964
4,13,5,1110,0.6271186440677966,0.0001745539998410095,0.029803766999975778
5,22,11,1145,0.6468926553672316,3.2219999866356375e-05,0.030897064999862778
6,1,29,1116,0.6305084745762712,8.473199977743207e-05,0.03004514400026892
7,40,40,1164,0.6576271186440678,1.5191000329650706e-05,0.02982780799993634
8,59,57,1107,0.6254237288135593,0.00018390499963061302,0.029936180999811768
9,44,5,1099,0.6209039548022599,0.0001329840001744742,0.030098983999778284
10,10,19,1137,0.6423728813559322,0.00011049200020352146,0.03042746300025101
11,26,1,1130,0.6384180790960452,8.123200041154632e-05,0.02961916200001724
12,49,51,1147,0.6480225988700565,0.00019332400006533135,0.02961714299999585
13,48,20,1113,0.6288135593220339,0.00012998300007893704,0.03001459300003262
14,27,42,1143,0.6457627118644068,0.00014774400005990174,0.030114354000033927
15,53,6,1088,0.6146892655367232,0.0002391660000284901,0.029952491000130976
16,12,25,1169,0.6604519774011299,0.00019231500027672155,0.030070582999996986
17,27,55,1097,0.619774011299435,0.0001643139999032428,0.030010202000084973
18,2,51,1107,0.6254237288135593,0.0001913639998747385,0.030312249999951746
19,6,51,1164,0.6576271186440678,0.0001422230002390279,0.030041073000120377
20,27,54,1135,0.6412429378531074,0.00019747399983316427,0.030067354000038904
21,0,10,1142,0.6451977401129944,0.00010980299975926755,0.030305959000088478
22,32,56,1126,0.6361581920903955,7.888199979788624e-05,0.030283599000085815
23,1,1,1148,0.6485875706214689,1.5731000075902557e-05,0.030445702000179153
24,14,20,1142,0.6451977401129944,8.893200038073701e-05,0.030162864999965677
25,22,0,1137,0.6423728813559322,0.0001270130001103098,0.02997806000030323
26,37,49,1163,0.6570621468926554,0.00022425599991038325,0.02999328100031562
27,58,11,1143,0.6457627118644068,0.00013915400040787063,0.030126143999950727
28,15,43,1105,0.6242937853107344,0.00012768299984600162,0.03009664299997894
29,51,37,1122,0.6338983050847458,9.624199992686044e-05,0.030131733999951393
30,7,3,1124,0.6350282485875707,0.00017754400005287607,0.03035301999989315
31,35,34,1143,0.6457627118644068,5.724200036638649e-05,0.030006140999830677
32,6,18,1141,0.6446327683615819,0.00019852400009767734,0.030030102000182524
33,46,36,1095,0.6186440677966102,0.00017296399983024457,0.030195745999662904
34,10,24,1145,0.6468926553672316,0.00016163400005098083,0.030065222999837715
35,30,26,1161,0.6559322033898305,0.0001548440000078699,0.03005874300015421
36,16,39,1108,0.6259887005649718,0.00017023400005200529,0.02984620699999141
37,5,9,1144,0.6463276836158192,0.0002318659999218653,0.030116844000076526
38,35,47,1090,0.615819209039548,0.00017992500033869874,0.03007452200017724
39,15,57,1123,0.6344632768361582,0.0001157830001830007,0.02981274699959613
40,42,24,1112,0.6282485875706215,0.00011501300014060689,0.030262607000167918
41,21,7,1125,0.635593220338983,0.00020989500035284436,0.030166244999691116
42,31,57,1120,0.632768361581921,0.00018034400000033202,0.030176374999882682
43,50,45,1131,0.6389830508474577,0.0002015350000874605,0.029791555999963748
44,27,16,1171,0.6615819209039548,0.00020481500041569234,0.029875648000142974
45,20,16,1117,0.6310734463276836,0.0001861050000115938,0.03010016399957749
46,8,54,1155,0.652542372881356,4.9030999889509985e-05,0.030133163999835233
47,50,7,1138,0.6429378531073446,0.00017404400023224298,0.02992462899965176
48,10,59,1125,0.635593220338983,0.00021182499995120452,0.029955841000173677
49,54,7,1125,0.635593220338983,0.00020520499992926489,0.029715134000070975
50,3,43,1154,0.6519774011299435,0.00010415199994895374,0.029997750999882555
51,49,31,1142,0.6451977401129944,0.00014969399990150123,0.0299247589996412
