exp,source,target,edges,density,t_dijkstra,t_floyd
0,37,39,107,0.1371794871794872,5.3109999953449005e-05,0.00982243900011781
1,1,34,121,0.15512820512820513,6.182999982229376e-05,0.00980244000015773
2,35,28,95,0.12179487179487179,2.438000001347973e-05,0.009816170000021884
3,22,26,97,0.12435897435897436,3.758000002562767e-05,0.01014409100002922
4,23,31,100,0.1282051282051282,3.6330000057205325e-05,0.009850030000052357
5,17,15,93,0.11923076923076924,4.9961000058829086e-05,0.00993119999998271
6,30,14,106,0.1358974358974359,5.6869999980335706e-05,0.00979815999994571
7,28,22,96,0.12307692307692308,5.47110000752582e-05,0.010271510999928068
8,1,25,105,0.1346153846153846,2.296999991813209e-05,0.009769959000095696
9,35,1,84,0.1076923076923077,3.093000009357638e-05,0.009782848999975613
10,14,25,100,0.1282051282051282,3.896999987773597e-05,0.009645049000027939
11,26,13,102,0.13076923076923078,3.2149999924513395e-05,0.0098668099999486
12,19,14,106,0.1358974358974359,6.086999997023668e-05,0.010085639999942941
13,37,19,108,0.13846153846153847,1.2360000027911155e-05,0.009754279000162569
14,10,27,91,0.11666666666666667,3.9360000073429546e-05,0.009988180000163993
15,33,28,92,0.11794871794871795,2.3679999912928906e-05,0.010000379999837605
16,18,7,96,0.12307692307692308,4.700999988926924e-05,0.010026159999824813
17,29,9,108,0.13846153846153847,2.5150000055873534e-05,0.010045370999932857
18,10,15,108,0.13846153846153847,2.2419999822886894e-05,0.00986401999989539
19,11,12,95,0.12179487179487179,3.655000000435393e-05,0.009786839000071268
20,13,16,96,0.12307692307692308,4.119000004720874e-05,0.009940059999962614
21,1,37,107,0.1371794871794872,5.862099988007685e-05,0.010102690000167058
22,30,16,91,0.11666666666666667,1.9419999944148003e-05,0.009958509999933085
23,2,1,94,0.12051282051282051,4.535000016403501e-05,0.00995349000004353
24,15,7,96,0.12307692307692308,4.964100003235217e-05,0.009927329999982248
25,17,11,91,0.11666666666666667,5.667999994329875e-05,0.009824759999901289
26,24,32,98,0.12564102564102564,5.674099998032034e-05,0.009853238999994574
27,27,18,103,0.13205128205128205,2.470000003995665e-05,0.00987354999983836
28,14,26,89,0.1141025641025641,4.940999997415929e-05,0.009837970000035057
29,35,24,99,0.12692307692307692,4.714000010608288e-05,0.009768800000074407
30,15,14,111,0.1423076923076923,4.2441000005055685e-05,0.009793798999908176
31,38,19,97,0.12435897435897436,2.534999998715648e-05,0.009756869000057122
32,18,35,104,0.13333333333333333,4.272099999980128e-05,0.00994343000002118
33,30,37,94,0.12051282051282051,5.241999997451785e-05,0.009792029999971419
34,21,13,88,0.11282051282051282,4.943100020682323e-05,0.009789619000002858
35,17,1,96,0.12307692307692308,3.799000000981323e-05,0.009818098999858194
36,15,2,95,0.12179487179487179,2.6320000188206905e-05,0.009861190000037823
37,1,22,104,0.13333333333333333,5.7429999969826895e-05,0.009706618999871353
38,33,21,87,0.11153846153846154,1.5969999822118552e-05,0.009734539000191944
39,29,37,92,0.11794871794871795,5.435999992187135e-05,0.00971864899997854
40,33,24,95,0.12179487179487179,4.538999996839266e-05,0.009660959000029834
41,2,28,100,0.1282051282051282,3.229999992981902e-05,0.010102961000029609
42,33,13,94,0.12051282051282051,4.9040000021705055e-05,0.009914919999800986
43,33,8,115,0.14743589743589744,3.7430999782372965e-05,0.009786978999954954
44,29,35,91,0.11666666666666667,1.3800000033370452e-05,0.00973998900008155
45,13,1,89,0.1141025641025641,1.8380000028628274e-05,0.00979815999994571
46,22,1,99,0.12692307692307692,2.182999992328405e-05,0.00975906999997278
47,38,13,85,0.10897435897435898,1.1880000101882615e-05,0.00998781099997359
48,25,7,87,0.11153846153846154,3.2969999892884516e-05,0.009788039999875764
49,33,14,96,0.12307692307692308,5.270000019663712e-05,0.009953480000149284
50,21,9,101,0.1294871794871795,5.7909999895855435e-05,0.01001736099988193
51,22,21,93,0.11923076923076924,4.106999995201477e-05,0.009947479999937059
52,28,10,100,0.1282051282051282,3.367999988768133e-05,0.009869789999811474
53,25,6,106,0.1358974358974359,1.5321000091716996e-05,0.009842778999882285
54,34,33,106,0.1358974358974359,4.241999999976542e-05,0.010006920000023456
55,32,1,96,0.12307692307692308,3.571999991436314e-05,0.009686819000080504
56,15,6,100,0.1282051282051282,3.171999992446217e-05,0.009809760000052847
57,21,38,110,0.14102564102564102,4.231099978824204e-05,0.009856358999968506
58,25,29,105,0.1346153846153846,2.26800000291405e-05,0.009958369999822025
59,22,15,94,0.12051282051282051,5.178000014893769e-05,0.009984789999862187
60,2,15,99,0.12692307692307692,4.729000011138851e-05,0.009953160000122807
61,38,14,104,0.13333333333333333,4.4620999915423454e-05,0.009877499000140233
62,4,7,92,0.11794871794871795,3.162000007250754e-05,0.009963270000071134
63,13,22,99,0.12692307692307692,1.568000016050064e-05,0.00994713000000047
64,18,21,96,0.12307692307692308,4.642999988391239e-05,0.00993610999989869
65,17,12,100,0.1282051282051282,2.6160000061281607e-05,0.010215130999995381
66,26,31,91,0.11666666666666667,3.983000010521209e-05,0.00992309999992358
67,27,20,111,0.1423076923076923,4.1300000020783045e-05,0.009598718000006556
68,21,3,103,0.13205128205128205,5.439000005935668e-05,0.009959160000107659
69,21,10,103,0.13205128205128205,3.3981000115090865e-05,0.009766649000084726
70,0,20,105,0.1346153846153846,3.693000007842784e-05,0.009990499999958047
71,5,11,80,0.10256410256410256,3.933999983019021e-05,0.00990988000012294
72,35,3,100,0.1282051282051282,4.605999993145815e-05,0.009785289000092234
73,11,19,98,0.12564102564102564,6.003099997542449e-05,0.010092109999959575
74,27,10,96,0.12307692307692308,3.5440000146991224e-05,0.00987184900009197
75,5,18,102,0.13076923076923078,5.581999994319631e-05,0.009938029999830178
76,31,17,106,0.1358974358974359,4.8491000143258134e-05,0.009919308999997156
77,3,1,101,0.1294871794871795,3.140000012535893e-05,0.009885070000109408
78,9,15,101,0.1294871794871795,4.1140000121231424e-05,0.009901479999825824
79,34,24,95,0.12179487179487179,2.7090999992651632e-05,0.01008787000000666
80,16,21,102,0.13076923076923078,2.68300000243471e-05,0.009880689000056009
81,31,29,110,0.14102564102564102,5.685999985871604e-05,0.010000920000038604
82,31,15,103,0.13205128205128205,5.351000004338857e-05,0.009578458000078172
83,11,15,93,0.11923076923076924,5.2081000148973544e-05,0.009785119000071063
84,38,24,85,0.10897435897435898,3.591999984564609e-05,0.009779968999964694
85,20,29,95,0.12179487179487179,3.870000000461005e-05,0.010168621000048006
86,7,35,92,0.11794871794871795,5.655000018123246e-05,0.009819949000075212
87,28,2,94,0.12051282051282051,4.806000015378231e-05,0.010092429999986052
88,31,0,96,0.12307692307692308,5.615999998553889e-05,0.009966300000087358
89,38,5,101,0.1294871794871795,3.235999997741601e-05,0.009869129000207977
90,22,23,93,0.11923076923076924,3.447999984018679e-05,0.009710568999935276
91,2,7,99,0.12692307692307692,5.2939999932277715e-05,0.00987580999981219
92,27,18,98,0.12564102564102564,5.5160000101750484e-05,0.009601667999959318
93,13,6,110,0.14102564102564102,5.800000008093775e-05,0.009734079000054408
94,29,4,89,0.1141025641025641,1.7630000002100132e-05,0.010122780000074272
95,27,27,100,0.1282051282051282,1.173999999082298e-05,0.010043549999863899
96,31,6,92,0.11794871794871795,3.3881000035762554e-05,0.009862408999879335
97,38,17,91,0.11666666666666667,3.801000002567889e-05,0.009727259000101185
98,2,38,92,0.11794871794871795,1.5950000033626566e-05,0.00995600999999624
99,2,4,87,0.11153846153846154,4.377999994176207e-05,0.010770933999992849
100,32,11,94,0.12051282051282051,7.077100008245907e-05,0.010109469999861176
101,35,18,99,0.12692307692307692,5.3200999900582246e-05,0.009882048999998005
102,19,0,102,0.13076923076923078,3.1009999929665355e-05,0.009456808000095407
103,7,5,99,0.12692307692307692,5.007100003240339e-05,0.009797238999908586
104,25,34,104,0.13333333333333333,6.114999996498227e-05,0.009824080000043978
105,8,21,90,0.11538461538461539,1.653999993322941e-05,0.010034071000063705
106,30,15,104,0.13333333333333333,2.08599999496073e-05,0.009828248999838252
107,0,37,88,0.11282051282051282,5.500000020219886e-05,0.010054370000034396
108,17,3,92,0.11794871794871795,4.8769999921205454e-05,0.009861470000032568
109,33,18,93,0.11923076923076924,3.047999985028582e-05,0.010015370000019175
110,4,21,93,0.11923076923076924,3.766099985114124e-05,0.009865988999990805
111,39,2,112,0.14358974358974358,2.1830000150657725e-05,0.010002530000065235
112,30,1,103,0.13205128205128205,3.8260999872363755e-05,0.009778858999879958
113,36,2,98,0.12564102564102564,5.469999996421393e-05,0.009935269999914453
114,35,21,101,0.1294871794871795,2.0769999991898658e-05,0.00971995899999456
115,6,5,101,0.1294871794871795,2.4251000013464363e-05,0.009802398999909201
116,10,34,95,0.12179487179487179,3.223999988222204e-05,0.010115731000041706
117,34,2,94,0.12051282051282051,2.7111000008517294e-05,0.009835898999881465
118,14,16,88,0.11282051282051282,4.013000011582335e-05,0.010045721000096819
119,31,30,89,0.1141025641025641,5.263999992166646e-05,0.009904879999794503
120,28,1,103,0.13205128205128205,1.6610000102446065e-05,0.009985550000010335
121,4,19,98,0.12564102564102564,4.603999991559249e-05,0.010134371000049214
122,16,20,93,0.11923076923076924,5.4180999995878665e-05,0.01003886000012244
123,22,19,115,0.14743589743589744,5.154099994797434e-05,0.010009650000029069
124,34,13,101,0.1294871794871795,1.4929999906598823e-05,0.010066220999988218
125,14,7,96,0.12307692307692308,5.224999995334656e-05,0.009976360000109707
126,4,8,101,0.1294871794871795,5.2549999963957816e-05,0.009982459999946514
