exp,source,target,edges,density,t_dijkstra,t_floyd
0,24,11,249,0.5724137931034483,4.804000013791665e-05,0.004048878999810768
1,7,11,246,0.5655172413793104,4.21500001266395e-05,0.004074038999988261
2,14,16,256,0.5885057471264368,6.104999988565396e-05,0.004043167999952857
3,3,26,268,0.6160919540229886,3.422999998292653e-05,0.004071908000014446
4,21,10,243,0.5586206896551724,3.314000014142948e-05,0.004059468000150446
5,9,15,256,0.5885057471264368,4.109099995730503e-05,0.004049937999980102
6,5,24,252,0.5793103448275863,4.97810001434118e-05,0.0041084780000346655
7,14,0,253,0.5816091954022988,5.447099988487025e-05,0.003944636999904105
8,9,22,247,0.5678160919540229,6.770000004507892e-05,0.0042078590001892735
9,24,21,258,0.593103448275862,4.180999985692324e-05,0.004046528000117178
10,20,14,261,0.6,4.330100000515813e-05,0.0039621969999643625
11,0,20,264,0.6068965517241379,5.15699998686614e-05,0.004015658000071198
12,28,12,247,0.5678160919540229,6.29709998065664e-05,0.003997508000111338
13,2,23,249,0.5724137931034483,5.0111000064134714e-05,0.003958727000053841
14,22,15,259,0.5954022988505747,5.861999989065225e-05,0.004023687999961112
15,23,29,258,0.593103448275862,6.396099979610881e-05,0.0041533989999607
16,19,27,270,0.6206896551724138,5.246999990049517e-05,0.003966837999996642
17,9,26,246,0.5655172413793104,5.469000006996794e-05,0.004001008000159345
18,17,9,260,0.5977011494252874,4.882999996880244e-05,0.004010407999885501
19,12,26,267,0.6137931034482759,2.233999998679792e-05,0.00395869799990578
20,10,21,259,0.5954022988505747,1.5359999906650046e-05,0.004034068999999363
21,5,2,247,0.5678160919540229,6.525000003421155e-05,0.00404870900001697
22,6,9,249,0.5724137931034483,4.079999985151517e-05,0.004060657999843897
23,13,4,253,0.5816091954022988,4.7171000005619135e-05,0.004030937999914386
24,16,1,259,0.5954022988505747,3.878999996231869e-05,0.004002908000074967
25,18,26,261,0.6,2.30699999974604e-05,0.004119008000088797
26,5,23,251,0.5770114942528736,3.9090999962354545e-05,0.004018447999897035
27,11,6,251,0.5770114942528736,6.97099999342754e-05,0.004089218999979494
28,1,17,261,0.6,6.774000007681025e-05,0.00402050900015638
29,19,16,273,0.6275862068965518,3.103999983977701e-05,0.004056057999832774
30,21,14,257,0.5908045977011495,5.081100016468554e-05,0.004012738000028548
31,28,0,260,0.5977011494252874,4.682000007960596e-05,0.004092428999911135
32,13,0,268,0.6160919540229886,5.440999984784867e-05,0.003975527999955375
33,8,29,255,0.5862068965517241,5.1170000006095506e-05,0.004012619000150153
34,1,1,253,0.5816091954022988,7.990000085555948e-06,0.0039505070001268905
35,25,1,248,0.5701149425287356,6.137000013950455e-05,0.004062398999849393
36,10,10,254,0.5839080459770115,7.859999868742307e-06,0.004077538000046843
37,24,15,256,0.5885057471264368,4.5211000042399974e-05,0.004346999000063079
38,12,28,255,0.5862068965517241,5.512099983207008e-05,0.004066347999923892
39,15,28,265,0.6091954022988506,6.560099996022473e-05,0.0040357079999466805
40,11,16,245,0.5632183908045977,2.5459999960730784e-05,0.004045597999947859
41,9,6,242,0.5563218390804597,5.8091000028070994e-05,0.00397391699993932
42,6,15,265,0.6091954022988506,3.720000017892744e-05,0.003930667999838988
43,20,18,272,0.6252873563218391,3.986000001532375e-05,0.003954877999831297
44,19,29,256,0.5885057471264368,2.6160000061281607e-05,0.003948157999957402
45,20,10,271,0.6229885057471264,1.3819999821862439e-05,0.0039915980000841955
46,1,19,265,0.6091954022988506,4.165999985161761e-05,0.004016447999902084
47,7,1,252,0.5793103448275863,2.24109999180655e-05,0.004024258000072223
48,25,10,262,0.6022988505747127,5.343999987417192e-05,0.0040305779998561775
49,20,10,285,0.6551724137931034,3.7960000099701574e-05,0.004071668000051432
50,18,1,237,0.5448275862068965,3.354099999341997e-05,0.004030627999782155
51,17,3,264,0.6068965517241379,5.867999993824924e-05,0.004023768000024575
52,22,24,262,0.6022988505747127,5.801999986942974e-05,0.003948157999957402
53,19,5,258,0.593103448275862,6.331999998110405e-05,0.003950927999994747
54,26,19,232,0.5333333333333333,4.274000002624234e-05,0.00399221799989391
55,7,22,252,0.5793103448275863,6.338000002870103e-05,0.004028637999908824
56,28,11,276,0.6344827586206897,6.225000015547266e-05,0.003956688000016584
57,16,27,258,0.593103448275862,2.7199999976801337e-05,0.00409866800009695
58,2,25,258,0.593103448275862,6.26899998223962e-05,0.003944488000115598
59,4,5,260,0.5977011494252874,6.405099998119113e-05,0.003991607000216391
60,10,23,258,0.593103448275862,3.13699999878736e-05,0.004086378000010882
61,16,17,234,0.5379310344827586,5.2881000101479e-05,0.004002967999895191
62,27,17,269,0.6183908045977011,5.668999983754475e-05,0.004026048000014271
63,26,15,265,0.6091954022988506,4.250000006322807e-05,0.004012077999959729
64,19,15,255,0.5862068965517241,2.9609999955937383e-05,0.004013118000102622
65,16,6,253,0.5816091954022988,2.7330999955665902e-05,0.004062168000018573
66,4,1,263,0.6045977011494252,4.46999999894615e-05,0.0039282879999973375
67,12,4,248,0.5701149425287356,5.45910002074379e-05,0.0040485179999905085
68,11,5,266,0.6114942528735632,1.6719999848646694e-05,0.0041104090000771976
69,6,8,271,0.6229885057471264,2.2800000124334474e-05,0.003924968000092122
70,21,29,258,0.593103448275862,6.46710000182793e-05,0.00403397800005223
71,16,23,253,0.5816091954022988,3.5580000030677184e-05,0.004032698000173696
72,5,28,246,0.5655172413793104,5.8009999975183746e-05,0.004083418000163874
73,1,17,262,0.6022988505747127,7.340999991356512e-05,0.003991508000126487
74,13,23,277,0.6367816091954023,7.21900000826281e-05,0.004004928999847834
75,10,6,248,0.5701149425287356,6.691999988106545e-05,0.003937628000130644
76,11,1,252,0.5793103448275863,3.503999982967798e-05,0.003956488000085301
77,13,27,253,0.5816091954022988,1.3379999927565223e-05,0.004019228000061048
78,21,22,250,0.5747126436781609,1.401999998051906e-05,0.004042668000010963
79,26,0,256,0.5885057471264368,3.951999997298117e-05,0.004032648000020345
80,23,23,247,0.5678160919540229,7.959999948070617e-06,0.004031427999962034
81,29,6,263,0.6045977011494252,6.800000005569018e-05,0.0039397779999035265
82,3,16,268,0.6160919540229886,5.610000016531558e-05,0.004011527999864484
83,21,26,248,0.5701149425287356,6.678999989162548e-05,0.004050008000149319
84,16,26,278,0.639080459770115,3.287000004092988e-05,0.0039386880000620295
85,27,17,267,0.6137931034482759,1.795000002857705e-05,0.004055008000023008
86,12,4,260,0.5977011494252874,4.52500000847067e-05,0.004001137999921411
87,29,18,264,0.6068965517241379,4.684999998971762e-05,0.0039437580001049355
88,25,10,251,0.5770114942528736,4.5509999836212955e-05,0.00404510799990021
89,14,14,281,0.6459770114942529,8.220999916375149e-06,0.004021826999860423
90,15,27,257,0.5908045977011495,5.964999991192599e-05,0.003966437999906702
91,21,26,239,0.5494252873563218,4.251999985172006e-05,0.004016498000055435
92,29,5,242,0.5563218390804597,1.7590999959793407e-05,0.004054598000038823
93,22,1,269,0.6183908045977011,2.24500001877459e-05,0.004054158000144525
94,20,0,256,0.5885057471264368,3.4919999961857684e-05,0.0040850079999472655
95,15,5,250,0.5747126436781609,6.396000003405788e-05,0.004042167999841695
96,13,20,247,0.5678160919540229,5.022999994253041e-05,0.004024198000024626
97,3,19,260,0.5977011494252874,4.809999995813996e-05,0.004060958000081882
98,13,0,278,0.639080459770115,5.673999999089574e-05,0.003982027999882121
99,9,12,248,0.5701149425287356,4.994999994778482e-05,0.004092038999942815
100,1,14,261,0.6,6.422000001293782e-05,0.00405411799988542
101,21,15,269,0.6183908045977011,5.265000004328613e-05,0.003980378000051132
102,19,26,251,0.5770114942528736,5.043999999543303e-05,0.00394450799990409
103,9,6,257,0.5908045977011495,6.900099992890318e-05,0.0040053780001017
104,27,4,273,0.6275862068965518,7.34709999505867e-05,0.003963506999980382
105,19,1,264,0.6068965517241379,2.1850000166523387e-05,0.004035107999925458
106,24,6,243,0.5586206896551724,5.385999997997715e-05,0.004020547999971313
107,17,27,261,0.6,5.981999993309728e-05,0.003980967999950735
108,24,22,255,0.5862068965517241,1.8960000033985125e-05,0.004039297999952396
109,22,26,249,0.5724137931034483,4.014000001006934e-05,0.003958998000143765
110,17,19,241,0.5540229885057472,3.495999999358901e-05,0.004069438999977137
111,16,28,268,0.6160919540229886,6.241000005502428e-05,0.004029248000051666
112,20,18,283,0.6505747126436782,4.3259999984002206e-05,0.00400271800003793
113,11,7,270,0.6206896551724138,6.229099994925491e-05,0.004033498000126201
114,8,15,256,0.5885057471264368,6.0130000065328204e-05,0.004017228000066098
115,22,10,267,0.6137931034482759,3.2900999940466136e-05,0.003995227999894269
116,20,25,254,0.5839080459770115,3.2079999982670415e-05,0.003946618000099988
117,26,16,242,0.5563218390804597,2.511000002414221e-05,0.003996027999846774
118,12,6,253,0.5816091954022988,4.566100005831686e-05,0.004032417999951576
119,29,27,254,0.5839080459770115,2.514000016162754e-05,0.003990907999877891
120,11,17,253,0.5816091954022988,6.858100005047163e-05,0.003950306999968234
121,7,11,240,0.5517241379310345,4.056000011587457e-05,0.004050517999985459
122,10,11,253,0.5816091954022988,2.610000001368462e-05,0.004052449000027991
123,18,14,254,0.5839080459770115,3.1639999860999524e-05,0.003934897999897657
124,10,19,253,0.5816091954022988,5.385000008573115e-05,0.0040653180001299916
125,8,18,263,0.6045977011494252,5.0389999842082034e-05,0.004019727999775569
126,12,26,260,0.5977011494252874,2.6210999976683524e-05,0.00405730800002857
127,21,29,252,0.5793103448275863,5.6800000038492726e-05,0.0041081389999817475
128,12,20,267,0.6137931034482759,3.0569999807994463e-05,0.003964107999991029
129,14,29,264,0.6068965517241379,3.895999998348998e-05,0.0039944079999258975
130,22,19,243,0.5586206896551724,4.601999989972683e-05,0.004034017999856587
131,24,23,257,0.5908045977011495,4.764000004797708e-05,0.003987778000009712
132,15,22,268,0.6160919540229886,5.163000014363206e-05,0.004013248000092062
133,19,9,266,0.6114942528735632,2.3290000171982683e-05,0.00403769900003681
134,14,16,263,0.6045977011494252,3.756000000976201e-05,0.003928577999886329
135,17,0,261,0.6,3.733999983523972e-05,0.004100399000208199
136,13,27,246,0.5655172413793104,6.161999999676482e-05,0.003998998000042775
137,15,11,251,0.5770114942528736,2.225000002908928e-05,0.004013507000081518
138,11,0,251,0.5770114942528736,4.3000000005122274e-05,0.004007658000091396
139,15,21,250,0.5747126436781609,3.2111000109580345e-05,0.004012737000039124
140,24,11,269,0.6183908045977011,2.5150000055873534e-05,0.004057127999885779
141,5,20,241,0.5540229885057472,5.3589999879477546e-05,0.004039928000111104
142,18,14,256,0.5885057471264368,3.947000004700385e-05,0.004062388999955147
143,6,10,263,0.6045977011494252,5.764000002272951e-05,0.004051208999953815
144,1,4,259,0.5954022988505747,2.652000011948985e-05,0.00399183800004721
145,12,2,249,0.5724137931034483,7.102099993971933e-05,0.0039798079999400215
146,19,10,256,0.5885057471264368,5.7190000006812625e-05,0.003963517999864052
147,23,18,259,0.5954022988505747,6.847099984952365e-05,0.00395234799998434
148,28,6,251,0.5770114942528736,6.929999995008984e-05,0.004068478000135656
149,7,12,255,0.5862068965517241,5.337000015970261e-05,0.003945747999978266
150,11,10,256,0.5885057471264368,2.734000008786097e-05,0.00403740799993102
151,12,5,265,0.6091954022988506,1.3589999980467837e-05,0.004017607999912798
152,10,25,276,0.6344827586206897,6.422999990718381e-05,0.003997509000100763
153,1,19,253,0.5816091954022988,6.756000016139296e-05,0.004025718000093548
154,28,29,258,0.593103448275862,4.3990999984089285e-05,0.003985078000141584
155,1,29,244,0.5609195402298851,5.850999991707795e-05,0.004144688999986101
156,23,29,245,0.5632183908045977,3.948000016862352e-05,0.004017997999881118
157,10,26,267,0.6137931034482759,2.191999988099269e-05,0.004045667999889702
158,27,26,277,0.6367816091954023,6.533099985972513e-05,0.0039920869999150455
159,19,12,262,0.6022988505747127,3.814000001511886e-05,0.004038278000052742
160,27,29,249,0.5724137931034483,4.814999988411728e-05,0.0038974770000095305
161,14,5,264,0.6068965517241379,5.4180999995878665e-05,0.004038327999978719
162,19,10,253,0.5816091954022988,6.614099993385025e-05,0.003978976999860606
163,19,13,239,0.5494252873563218,6.131999998615356e-05,0.0039749879999817495
164,20,9,257,0.5908045977011495,6.046000021342479e-05,0.003942068000014842
165,2,13,264,0.6068965517241379,4.906000003757072e-05,0.003960417999905985
166,28,6,253,0.5816091954022988,3.60199999249744e-05,0.003938027000003785
167,27,6,233,0.535632183908046,3.58599997980491e-05,0.0039813569999296305
168,2,20,266,0.6114942528735632,4.444000001058157e-05,0.004042567999931634
169,22,1,251,0.5770114942528736,1.7559999832883477e-05,0.004087768000090364
170,4,29,256,0.5885057471264368,5.604100010714319e-05,0.003974758000140355
171,11,15,260,0.5977011494252874,3.7470000052053365e-05,0.004058018000023367
172,3,2,278,0.639080459770115,1.5280000070561073e-05,0.0040396379999947385
173,11,9,268,0.6160919540229886,3.31910000568314e-05,0.004027947999929893
174,16,26,258,0.593103448275862,1.556999995955266e-05,0.004003657999874122
175,13,9,251,0.5770114942528736,7.516000005125534e-05,0.003999969000005876
176,9,21,256,0.5885057471264368,5.213000008552626e-05,0.003927457999907347
177,22,13,251,0.5770114942528736,4.4449999904827564e-05,0.004009737999922436
178,19,26,242,0.5563218390804597,5.45509999483329e-05,0.003949847000058071
179,27,15,260,0.5977011494252874,4.441999999471591e-05,0.003989477999994051
180,10,24,249,0.5724137931034483,5.2759999789486756e-05,0.004014428000118642
181,9,7,264,0.6068965517241379,4.4299999899521936e-05,0.0040381179999258165
182,7,14,255,0.5862068965517241,6.104999988565396e-05,0.004015498999933698
183,22,16,260,0.5977011494252874,6.333000010272372e-05,0.004070888000114792
184,21,1,263,0.6045977011494252,3.2110000120155746e-05,0.003847516999940126
185,26,11,251,0.5770114942528736,5.049000014878402e-05,0.0039658480000070995
186,16,10,247,0.5678160919540229,3.455999990364944e-05,0.003957248000006075
187,6,28,250,0.5747126436781609,6.16909999280324e-05,0.004028146999871751
188,14,25,263,0.6045977011494252,3.1210000088321976e-05,0.00403888799996821
189,19,19,253,0.5816091954022988,7.990000085555948e-06,0.003940286999977616
190,6,0,243,0.5586206896551724,3.341100000398001e-05,0.003948697000168977
191,13,16,256,0.5885057471264368,3.378100018380792e-05,0.004004268000016964
192,29,11,255,0.5862068965517241,2.3540000029242947e-05,0.003989587999967625
193,2,26,249,0.5724137931034483,2.158999996026978e-05,0.004091798999979801
194,1,25,249,0.5724137931034483,3.155000013066456e-05,0.0040264880001359415
195,8,28,272,0.6252873563218391,3.307999986645882e-05,0.0039037669998833735
196,3,8,283,0.6505747126436782,6.89299999976356e-05,0.003992478000100164
197,23,1,237,0.5448275862068965,5.621100012831448e-05,0.004000367000116967
198,9,10,243,0.5586206896551724,5.650000002788147e-05,0.004017777999933969
199,26,1,237,0.5448275862068965,3.0599999945479794e-05,0.004043837999915922
200,10,21,250,0.5747126436781609,2.4160000066331122e-05,0.004075097999930222
201,9,1,237,0.5448275862068965,2.347999998164596e-05,0.004094118000011804
202,22,4,239,0.5494252873563218,4.5199999931355705e-05,0.004021789000034914
203,6,7,257,0.5908045977011495,3.7060000067867804e-05,0.004052228000091418
204,25,20,261,0.6,1.4691000160382828e-05,0.003994086999909996
205,0,8,265,0.6091954022988506,3.028999981324887e-05,0.003968878000023324
206,8,26,243,0.5586206896551724,6.085999984861701e-05,0.003996688000142967
207,8,1,250,0.5747126436781609,5.133999979989312e-05,0.004008147999911671
208,11,14,266,0.6114942528735632,4.828100009035552e-05,0.004000867000058861
209,4,23,252,0.5793103448275863,6.066000014470774e-05,0.004000907999852643
210,0,10,259,0.5954022988505747,5.241999997451785e-05,0.0040216879999661614
211,5,10,253,0.5816091954022988,4.317999992053956e-05,0.003984718000083376
212,11,4,264,0.6068965517241379,4.9700000090524554e-05,0.004043747999958214
213,13,18,262,0.6022988505747127,3.190000006725313e-05,0.004044168000064019
214,12,18,261,0.6,7.120000009308569e-05,0.0040643279999130755
215,28,23,230,0.5287356321839081,5.602999999609892e-05,0.004009367999969982
216,25,4,260,0.5977011494252874,6.20799999069277e-05,0.003945757999872512
217,6,29,269,0.6183908045977011,4.2450000137250754e-05,0.004037048000100185
218,1,22,254,0.5839080459770115,1.5720999954282888e-05,0.004115698000077828
219,17,14,247,0.5678160919540229,4.4090000073992996e-05,0.00401886800000284
