exp,source,target,edges,density,t_dijkstra,t_floyd
0,13,27,89,0.2045977011494253,4.75299998470291e-05,0.004148781000139934
1,9,9,99,0.22758620689655173,8.190000016838894e-06,0.004165380999893387
2,24,1,100,0.22988505747126436,2.2519999902215204e-05,0.004097290999879988
3,22,11,88,0.20229885057471264,4.266000019015337e-05,0.00419755199982319
4,22,13,108,0.2482758620689655,2.1320000087143853e-05,0.00423092099981659
5,13,6,102,0.23448275862068965,2.9900000072302646e-05,0.0042563419999623875
6,16,9,97,0.22298850574712645,2.005999999710184e-05,0.00421760200015342
7,25,16,100,0.22988505747126436,4.7139999878709204e-05,0.004183280999995986
8,14,10,93,0.21379310344827587,2.8100000008635106e-05,0.0041770319999159256
9,9,9,84,0.19310344827586207,8.519999937561806e-06,0.004345122000131596
10,15,10,100,0.22988505747126436,3.4130000130971894e-05,0.0042074819998561
11,0,15,106,0.24367816091954023,5.157999999028107e-05,0.004145831000187172
12,14,1,96,0.2206896551724138,1.646999999138643e-05,0.003979650000019319
13,28,29,99,0.22758620689655173,3.553999999894586e-05,0.004139352000038343
14,19,27,100,0.22988505747126436,2.2950000129640102e-05,0.004149120999954903
15,18,5,93,0.21379310344827587,2.55099998867081e-05,0.0041902820000814245
16,4,9,101,0.23218390804597702,3.931000014745223e-05,0.004297592000057193
17,9,23,89,0.2045977011494253,4.312000010031625e-05,0.004202351000003546
18,3,1,101,0.23218390804597702,3.1739999940327834e-05,0.004058200999907058
19,6,26,110,0.25287356321839083,2.2330000092551927e-05,0.0041943109999920125
20,2,14,84,0.19310344827586207,2.007000011872151e-05,0.004217371999857278
21,19,20,95,0.21839080459770116,1.5919999896141235e-05,0.004227911000043605
22,18,12,100,0.22988505747126436,3.835000006802147e-05,0.004182341999921846
23,6,12,112,0.2574712643678161,4.4859999889013125e-05,0.004065180999987206
24,5,17,83,0.19080459770114944,3.670000000965956e-05,0.004125541000121302
25,11,19,96,0.2206896551724138,4.5679999857384246e-05,0.004172422000010556
26,12,11,114,0.2620689655172414,3.553999999894586e-05,0.004059240000060527
27,14,6,90,0.20689655172413793,1.60900001446862e-05,0.004207812000004196
28,9,15,103,0.2367816091954023,2.6039999966087635e-05,0.004051751000133663
29,1,1,95,0.21839080459770116,8.180000122592901e-06,0.004225271999985125
30,3,23,98,0.22528735632183908,2.4049999865383143e-05,0.0040751609999460925
31,2,8,107,0.24597701149425288,4.398100008984329e-05,0.004164880999951492
32,21,8,107,0.24597701149425288,2.422000011392811e-05,0.004197791000024154
33,9,27,96,0.2206896551724138,5.136000004313246e-05,0.003999231000079817
34,1,23,91,0.20919540229885059,1.5529999927821336e-05,0.004187951999938377
35,22,1,93,0.21379310344827587,2.014000006056449e-05,0.004101480999906926
36,27,2,93,0.21379310344827587,3.504000005705166e-05,0.004182020999905944
37,10,7,107,0.24597701149425288,4.9530000069353264e-05,0.004159630999993169
38,5,4,96,0.2206896551724138,2.7419999923949945e-05,0.004198251999923741
39,14,8,105,0.2413793103448276,3.0870000045979396e-05,0.00411593100011487
40,26,11,97,0.22298850574712645,2.983099989251059e-05,0.004129571000021315
41,6,17,96,0.2206896551724138,2.2540999907505466e-05,0.004121921000205475
42,4,6,87,0.2,1.6420000065409113e-05,0.004200781999998071
43,7,24,105,0.2413793103448276,2.261000008729752e-05,0.0041993209999873216
44,2,17,101,0.23218390804597702,4.8519999836571515e-05,0.004205321999961598
45,24,19,117,0.2689655172413793,3.743000002032204e-05,0.004097941000054561
46,19,12,101,0.23218390804597702,3.685999990921118e-05,0.004174461000047813
47,29,16,89,0.2045977011494253,2.686999982870475e-05,0.004107401000055688
48,28,26,114,0.2620689655172414,3.1079999871508335e-05,0.004031670999893322
49,9,19,101,0.23218390804597702,1.7329999991488876e-05,0.004161962000125641
50,16,15,98,0.22528735632183908,4.066100018462748e-05,0.004173880999815083
51,15,27,96,0.2206896551724138,4.5450000015989644e-05,0.004079890999946656
52,2,14,96,0.2206896551724138,3.5910999940824695e-05,0.004258542000115995
53,19,29,101,0.23218390804597702,4.2301000121369725e-05,0.004224980999879335
54,0,22,97,0.22298850574712645,4.517000002124405e-05,0.0041673009998248745
55,7,23,100,0.22988505747126436,3.195099998265505e-05,0.004165411000030872
56,10,4,104,0.23908045977011494,2.2699999817632488e-05,0.004154820999929143
57,16,1,99,0.22758620689655173,1.739100002851046e-05,0.004133950999857916
58,28,15,102,0.23448275862068965,1.1410000070100068e-05,0.004184041000144134
59,22,13,97,0.22298850574712645,3.9789999846107094e-05,0.004188830999964921
60,8,14,84,0.19310344827586207,2.7510000109032262e-05,0.004079971000010119
61,28,22,109,0.25057471264367814,3.969999988839845e-05,0.004281281999965358
62,25,20,85,0.19540229885057472,1.5630999996574246e-05,0.004237651000039477
63,21,7,106,0.24367816091954023,3.892999984600465e-05,0.004079200999967725
64,21,23,93,0.21379310344827587,3.322999987176445e-05,0.004208051999967211
65,12,8,89,0.2045977011494253,3.07109999084787e-05,0.0041370809999534686
66,26,23,101,0.23218390804597702,3.305100017314544e-05,0.004252790999998979
67,27,14,99,0.22758620689655173,3.7439999914568034e-05,0.004143040999906589
68,23,12,108,0.2482758620689655,4.031999992548663e-05,0.004102261000070939
69,21,20,98,0.22528735632183908,2.900999993471487e-05,0.004234561999965081
70,2,26,92,0.21149425287356322,4.207999995742284e-05,0.0040570809999280755
71,25,17,106,0.24367816091954023,3.289000005679554e-05,0.004195751999986896
72,5,12,98,0.22528735632183908,2.818999996634375e-05,0.004130581000026723
73,27,10,101,0.23218390804597702,1.44999999065476e-05,0.004219580999915706
74,17,7,105,0.2413793103448276,2.9440000162139768e-05,0.004158722000056514
75,4,17,95,0.21839080459770116,1.859000008153089e-05,0.004221971999868401
76,5,12,84,0.19310344827586207,2.3150000060923048e-05,0.004154930999902717
77,12,1,82,0.18850574712643678,1.4900999985911767e-05,0.004249561000051472
78,28,29,98,0.22528735632183908,3.0419999802688835e-05,0.004163980999919659
79,9,23,102,0.23448275862068965,3.8509999967573094e-05,0.004024321000088094
80,9,24,93,0.21379310344827587,3.586000002542278e-05,0.0042345020001448574
81,15,7,94,0.2160919540229885,4.274000002624234e-05,0.004202600999860806
82,28,29,98,0.22528735632183908,2.1990000050209346e-05,0.004166661999988719
83,19,10,99,0.22758620689655173,4.224000008434814e-05,0.004161831999908827
84,23,1,106,0.24367816091954023,3.4631000062290695e-05,0.004096850999985691
85,5,22,91,0.20919540229885059,3.209999999853608e-05,0.004000740000037695
86,25,5,106,0.24367816091954023,1.5190000112852431e-05,0.0041801709999162995
87,24,25,103,0.2367816091954023,4.319000004215923e-05,0.0040128509999703965
88,25,1,93,0.21379310344827587,3.0339999966599862e-05,0.004114831000151753
89,7,27,114,0.2620689655172414,1.6259999938483816e-05,0.004064931999891996
90,17,28,99,0.22758620689655173,4.577000004246656e-05,0.004065850999950271
91,25,1,104,0.23908045977011494,1.3299999864102574e-05,0.004218780999963201
92,6,29,107,0.24597701149425288,3.080999999838241e-05,0.004123941999978342
93,21,3,99,0.22758620689655173,3.2571000019743224e-05,0.004173231000095257
94,23,19,101,0.23218390804597702,4.087000002073182e-05,0.004129311000042435
