exp,source,target,edges,density,t_dijkstra,t_floyd
0,50,3,2186,0.44161616161616163,0.00027449499975773506,0.14424744900043152
1,51,53,2113,0.42686868686868684,0.0005977490000077523,0.15197552399968117
2,80,54,2119,0.42808080808080806,0.0003491749994282145,0.13472393699976237
3,62,38,2187,0.44181818181818183,0.0003590850001273793,0.13667313499990996
4,8,8,2191,0.44262626262626265,3.5489999390847515e-05,0.13398233499992784
5,20,68,2150,0.43434343434343436,0.00038129600034153555,0.13479900700076541
6,81,86,2090,0.4222222222222222,0.00013683199995284667,0.13432298000043374
7,87,59,2166,0.43757575757575756,0.00035808499978884356,0.13521549399956712
8,89,39,2169,0.4381818181818182,0.0003549249995558057,0.13433033099954628
9,11,95,2150,0.43434343434343436,0.00020810300065932097,0.13397715500013874
10,86,83,2169,0.4381818181818182,0.0003555849998519989,0.13346001700028864
11,94,69,2150,0.43434343434343436,0.00013216200022725388,0.13513018199955695
12,42,18,2194,0.44323232323232326,0.0003587460005292087,0.13447871100015618
13,30,26,2105,0.42525252525252527,0.00029454400009854,0.1358165720002944
14,33,79,2163,0.43696969696969695,0.0003168340008414816,0.13601517499955662
15,98,49,2117,0.42767676767676766,0.00039708600070298417,0.13614445599978353
16,72,77,2138,0.4319191919191919,0.0003966859994761762,0.13454450300014287
17,44,8,2183,0.441010101010101,0.00024146300074789906,0.1334444159992927
18,66,38,2108,0.4258585858585859,0.0001484929998696316,0.13395902299998852
19,39,38,2112,0.4266666666666667,0.0002071029994112905,0.1348077259999627
20,45,17,2156,0.43555555555555553,0.00017576199934410397,0.13453818099969794
21,85,6,2123,0.4288888888888889,0.0003250639992984361,0.1347264650003126
22,88,58,2149,0.43414141414141416,0.0003508750005494221,0.13573056899986113
23,14,39,2126,0.4294949494949495,0.0001840229997469578,0.13560019800024747
24,18,61,2225,0.4494949494949495,0.00036738499966304516,0.13556632600011653
25,49,71,2142,0.43272727272727274,0.0003206149995094165,0.13382664999971894
26,18,5,2156,0.43555555555555553,0.00028360399937810143,0.13404650399934326
27,3,24,2123,0.4288888888888889,0.000218273000427871,0.13416903500001354
28,15,40,2200,0.4444444444444444,0.00028035400009684963,0.1335355459996208
29,34,76,2128,0.4298989898989899,0.0002951639999082545,0.13388808099989546
